,length_km,n_baseline,source_tile,target_tile,source_kommune,target_kommune,source_region,target_region
"(0.564,35.832) → (0.565,35.831)",0.1071367664655,56227.658310585735,"(0.564,35.832)","(0.565,35.831)",Baringo South,Baringo South,Baringo,Baringo
"(0.018,35.784) → (0.018,35.785)",0.060772803741865,48624.43342634684,"(0.018,35.784)","(0.018,35.785)",Eldama Ravine,Eldama Ravine,Baringo,Baringo
"(0.023,35.785)",0.04921378097036799,48666.73130487035,"(0.023,35.785)","(0.023,35.785)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.027,35.781) → (0.027,35.78)",0.13265406624085,48582.57808543496,"(0.027,35.781)","(0.027,35.78)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.028,35.775) → (0.029,35.772)",0.37341785950784995,48572.045259516206,"(0.028,35.775)","(0.029,35.772)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.028,35.776)",0.023894879729156,48598.949775579415,"(0.028,35.776)","(0.028,35.776)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.03,35.77) → (0.03,35.771)",0.046099082905957,48687.03672175291,"(0.03,35.77)","(0.03,35.771)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.03,35.779)",0.10452412364455,48582.82684078461,"(0.03,35.779)","(0.03,35.779)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.032,35.767) → (0.033,35.765)",0.17105373507344,48675.92545577136,"(0.032,35.767)","(0.033,35.765)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.032,35.779) → (0.032,35.778)",0.093971205699131,48658.39985443144,"(0.032,35.779)","(0.032,35.778)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.035,35.774) → (0.035,35.773)",0.13309423415774999,48651.88775106581,"(0.035,35.774)","(0.035,35.773)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.539,35.829) → (0.542,35.83)",0.28990777285629,56276.57015373318,"(0.539,35.829)","(0.542,35.83)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.539,35.842) → (0.539,35.843)",0.11074314628928,56287.20196039681,"(0.539,35.842)","(0.539,35.843)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.541,35.827) → (0.544,35.828)",0.41786166985309997,56179.54585535257,"(0.541,35.827)","(0.544,35.828)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.547,35.826)",0.067888771819555,56179.25820303834,"(0.547,35.826)","(0.547,35.826)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.548,35.822)",0.015174935038193001,56300.05065441718,"(0.548,35.822)","(0.548,35.822)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.548,35.831) → (0.548,35.83)",0.061382617708412995,56266.93594484886,"(0.548,35.831)","(0.548,35.83)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.553,35.822) → (0.554,35.822)",0.10911099746042,56198.18987451588,"(0.553,35.822)","(0.554,35.822)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.557,35.833) → (0.559,35.833)",0.19314322597626002,56167.07839763862,"(0.557,35.833)","(0.559,35.833)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.563,35.84) → (0.564,35.839)",0.14307323778909,56259.40556768816,"(0.563,35.84)","(0.564,35.839)",Nandi North District,Nandi North District,Baringo,Baringo
"(-0.748,35.278) → (-0.747,35.278)",0.14279311087555,128639.32387476569,"(-0.748,35.278)","(-0.747,35.278)",Bomet Central,Bomet Central,Bomet,Bomet
"(-0.739,35.275) → (-0.738,35.276)",0.19268884535539002,128804.94525121973,"(-0.739,35.275)","(-0.738,35.276)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.742,35.281) → (-0.742,35.283)",0.20430902154227,128751.22585718865,"(-0.742,35.281)","(-0.742,35.283)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.744,35.273) → (-0.744,35.275)",0.13769325035357,128729.1844250148,"(-0.744,35.273)","(-0.744,35.275)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.744,35.278) → (-0.744,35.279)",0.17036686273274998,128529.25075599978,"(-0.744,35.278)","(-0.744,35.279)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.745,35.274) → (-0.744,35.274)",0.041664257574337005,128711.95620218676,"(-0.745,35.274)","(-0.744,35.274)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.745,35.278) → (-0.745,35.279)",0.11603079510878,128775.54962349636,"(-0.745,35.278)","(-0.745,35.279)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.746,35.276) → (-0.746,35.277)",0.040211127708128,128500.7273321378,"(-0.746,35.276)","(-0.746,35.277)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.747,35.276) → (-0.747,35.279)",0.27578868896279995,128528.59265640387,"(-0.747,35.276)","(-0.747,35.279)",Central Kisii,Central Kisii,Bomet,Bomet
