,length_km,n_baseline,source_tile,target_tile,source_kommune,target_kommune,source_region,target_region
"(1.419,40.059) → (1.42,40.059)",0.14248848558879001,118603.74199078683,"(1.419,40.059)","(1.42,40.059)",Moyale District,Moyale District,Wajir,Wajir
"(1.423,40.073) → (1.424,40.073)",0.027806088654067997,118443.0363626699,"(1.423,40.073)","(1.424,40.073)",Moyale District,Moyale District,Wajir,Wajir
"(1.443,40.049) → (1.445,40.049)",0.17203807561317,118447.9293638132,"(1.443,40.049)","(1.445,40.049)",Moyale District,Moyale District,Wajir,Wajir
"(1.464,40.067) → (1.466,40.067)",0.18012013307367,118401.15669231677,"(1.464,40.067)","(1.466,40.067)",Moyale District,Moyale District,Wajir,Wajir
"(1.467,40.026) → (1.469,40.027)",0.13421698779346,118749.21502927764,"(1.467,40.026)","(1.469,40.027)",Moyale District,Moyale District,Wajir,Wajir
"(1.252,35.09) → (1.057,35.038)",22.515634795935,3551.504808916319,"(1.252,35.09)","(1.057,35.038)",West Potok,Lugari District,West Pokot,Trans Nzoia
"(1.252,35.09) → (1.086,35.056)",18.889247500739998,3543.9225285766747,"(1.252,35.09)","(1.086,35.056)",West Potok,Lugari District,West Pokot,Trans Nzoia
"(1.252,35.09) → (1.094,35.055)",18.016799596329,3545.4701873024624,"(1.252,35.09)","(1.094,35.055)",West Potok,Lugari District,West Pokot,Trans Nzoia
"(1.252,35.09) → (1.117,35.068)",15.260318392372,7100.446322174454,"(1.252,35.09)","(1.117,35.068)",West Potok,Lugari District,West Pokot,Trans Nzoia
"(1.252,35.09) → (1.134,35.09)",13.190703822967999,3555.71992246344,"(1.252,35.09)","(1.134,35.09)",West Potok,Lugari District,West Pokot,Trans Nzoia
"(1.304,35.133) → (1.303,35.137)",0.44187894553890006,73098.98631296934,"(1.304,35.133)","(1.303,35.137)",West Potok,West Potok,West Pokot,West Pokot
"(1.312,35.14) → (1.314,35.139)",0.20015140562705,72856.45384329722,"(1.312,35.14)","(1.314,35.139)",West Potok,West Potok,West Pokot,West Pokot
"(1.321,35.151) → (1.32,35.149)",0.15961619494594,72888.27082733435,"(1.321,35.151)","(1.32,35.149)",West Potok,West Potok,West Pokot,West Pokot
"(1.324,35.135) → (1.322,35.136)",0.18218180363157,73101.88446092022,"(1.324,35.135)","(1.322,35.136)",West Potok,West Potok,West Pokot,West Pokot
"(1.326,35.146) → (1.325,35.146)",0.047733843200762,72913.40121490265,"(1.326,35.146)","(1.325,35.146)",West Potok,West Potok,West Pokot,West Pokot
"(1.33,35.143) → (1.329,35.142)",0.12853682798037,72887.62013649585,"(1.33,35.143)","(1.329,35.142)",West Potok,West Potok,West Pokot,West Pokot
"(1.33,35.147) → (1.329,35.146)",0.16798691468154,73084.34611471852,"(1.33,35.147)","(1.329,35.146)",West Potok,West Potok,West Pokot,West Pokot
"(1.331,35.152) → (1.332,35.151)",0.13956498245135998,73012.33142051223,"(1.331,35.152)","(1.332,35.151)",West Potok,West Potok,West Pokot,West Pokot
"(1.335,35.148) → (1.334,35.148)",0.091960025652902,72916.41334095465,"(1.335,35.148)","(1.334,35.148)",West Potok,West Potok,West Pokot,West Pokot
