,length_km,n_baseline,source_tile,target_tile,source_kommune,target_kommune,source_region,target_region
"(0.557,35.837) → (0.56,35.837)",0.31855695923045,45930.41532343096,"(0.557,35.837)","(0.56,35.837)",Baringo South,Baringo South,Baringo,Baringo
"(0.014,35.779) → (0.014,35.778)",0.14366340662979002,42537.62054576688,"(0.014,35.779)","(0.014,35.778)",Eldama Ravine,Eldama Ravine,Baringo,Baringo
"(0.021,35.778) → (0.022,35.776)",0.30869740188114003,42526.54919297668,"(0.021,35.778)","(0.022,35.776)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.022,35.77) → (0.023,35.769)",0.15336061926573,42513.1719048914,"(0.022,35.77)","(0.023,35.769)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.024,35.766) → (0.025,35.764)",0.27118978498333995,42540.34372640596,"(0.024,35.766)","(0.025,35.764)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.024,35.772)",0.029772622014202006,42534.507441551,"(0.024,35.772)","(0.024,35.772)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.025,35.777) → (0.025,35.775)",0.1789207194337,42575.60865315369,"(0.025,35.777)","(0.025,35.775)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.026,35.777) → (0.027,35.776)",0.13124987534791,42579.899307147345,"(0.026,35.777)","(0.027,35.776)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.027,35.779) → (0.027,35.778)",0.12161600002107,42600.92723390802,"(0.027,35.779)","(0.027,35.778)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.028,35.776) → (0.029,35.776)",0.059015724916875,42518.9096087153,"(0.028,35.776)","(0.029,35.776)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.029,35.772) → (0.029,35.771)",0.1580457786136,42614.53013711142,"(0.029,35.772)","(0.029,35.771)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.529,35.83) → (0.53,35.829)",0.21931666437800001,45998.77134433122,"(0.529,35.83)","(0.53,35.829)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.535,35.824) → (0.537,35.825)",0.24019244470476,45910.212004607696,"(0.535,35.824)","(0.537,35.825)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.536,35.832) → (0.538,35.828)",0.56819645403491,45918.46092106144,"(0.536,35.832)","(0.538,35.828)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.538,35.823) → (0.542,35.824)",0.44279077804872996,45971.43335705017,"(0.538,35.823)","(0.542,35.824)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.54,35.828) → (0.542,35.828)",0.22938014057625,45976.06623301759,"(0.54,35.828)","(0.542,35.828)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.547,35.833) → (0.548,35.834)",0.18205670713987998,46013.459213227514,"(0.547,35.833)","(0.548,35.834)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.548,35.83) → (0.549,35.83)",0.045314777133949005,45927.053918450016,"(0.548,35.83)","(0.549,35.83)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.55,35.837) → (0.553,35.837)",0.40351798761465996,45904.016662314134,"(0.55,35.837)","(0.553,35.837)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.562,35.84) → (0.564,35.839)",0.23849247247407998,45933.35570458414,"(0.562,35.84)","(0.564,35.839)",Nandi North District,Nandi North District,Baringo,Baringo
"(-0.746,35.275) → (-0.746,35.276)",0.14643280426577,117726.33061851605,"(-0.746,35.275)","(-0.746,35.276)",Bomet Central,Bomet Central,Bomet,Bomet
"(-0.741,35.272) → (-0.741,35.274)",0.13865596723472,117843.34053530401,"(-0.741,35.272)","(-0.741,35.274)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.743,35.275) → (-0.742,35.276)",0.14763525549754,117717.71484895804,"(-0.743,35.275)","(-0.742,35.276)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.744,35.271) → (-0.744,35.272)",0.076224869852456,117901.53703586722,"(-0.744,35.271)","(-0.744,35.272)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.744,35.273) → (-0.742,35.274)",0.25059273234901,117658.66701293702,"(-0.744,35.273)","(-0.742,35.274)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.744,35.274) → (-0.744,35.275)",0.11256719618830999,117695.68974762928,"(-0.744,35.274)","(-0.744,35.275)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.744,35.275) → (-0.744,35.277)",0.19533898907173,117733.8672428062,"(-0.744,35.275)","(-0.744,35.277)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.745,35.272) → (-0.746,35.274)",0.24188672992854998,117831.46580079499,"(-0.745,35.272)","(-0.746,35.274)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.749,35.272) → (-0.75,35.271)",0.029366518714602996,117939.18417878091,"(-0.749,35.272)","(-0.75,35.271)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.75,35.274) → (-0.748,35.275)",0.1788155435457,117674.54657574982,"(-0.75,35.274)","(-0.748,35.275)",Central Kisii,Central Kisii,Bomet,Bomet
"(0.622,34.626) → (0.622,34.625)",0.07557392731777299,264217.3562599948,"(0.622,34.626)","(0.622,34.625)",Butere/Mumias District,Butere/Mumias District,Bungoma,Bungoma
"(0.624,34.629) → (0.623,34.63)",0.14665572179768,264253.6103004789,"(0.624,34.629)","(0.623,34.63)",Butere/Mumias District,Butere/Mumias District,Bungoma,Bungoma
"(0.624,34.632) → (0.623,34.633)",0.16825742267090998,264084.82341949263,"(0.624,34.632)","(0.623,34.633)",Butere/Mumias District,Butere/Mumias District,Bungoma,Bungoma
"(0.624,34.632)",0.029507868914031,264120.4650908447,"(0.624,34.632)","(0.624,34.632)",Butere/Mumias District,Butere/Mumias District,Bungoma,Bungoma
