,length_km,n_baseline,source_tile,target_tile,source_kommune,target_kommune,source_region,target_region
"(0.57,35.843) → (0.568,35.844)",0.23537270638512,57337.59682169673,"(0.57,35.843)","(0.568,35.844)",Baringo South,Baringo South,Baringo,Baringo
"(0.012,35.791) → (0.011,35.792)",0.16843726331735,58181.979383587066,"(0.012,35.791)","(0.011,35.792)",Eldama Ravine,Eldama Ravine,Baringo,Baringo
"(0.013,35.787) → (0.012,35.788)",0.21098015309244,58324.37278041946,"(0.013,35.787)","(0.012,35.788)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.014,35.787) → (0.014,35.789)",0.20830346711709,58184.21287054839,"(0.014,35.787)","(0.014,35.789)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.017,35.778) → (0.016,35.78)",0.20640878278825,58311.365412167936,"(0.017,35.778)","(0.016,35.78)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.018,35.771) → (0.017,35.773)",0.24579178080182001,58267.64940795407,"(0.018,35.771)","(0.017,35.773)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.019,35.778) → (0.018,35.78)",0.23956965128042002,58329.374124997514,"(0.019,35.778)","(0.018,35.78)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.02,35.778) → (0.02,35.781)",0.32256324012723,58167.592112712606,"(0.02,35.778)","(0.02,35.781)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.024,35.782) → (0.024,35.785)",0.29499444551718,58215.27053447775,"(0.024,35.782)","(0.024,35.785)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.024,35.783) → (0.024,35.785)",0.23591999137220998,58149.1798292145,"(0.024,35.783)","(0.024,35.785)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.029,35.773) → (0.028,35.773)",0.12150712668096,58181.30799132941,"(0.029,35.773)","(0.028,35.773)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.543,35.824) → (0.538,35.824)",0.53025728885871,57477.92369376514,"(0.543,35.824)","(0.538,35.824)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.543,35.831) → (0.542,35.832)",0.15545137602811,57370.40482526971,"(0.543,35.831)","(0.542,35.832)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.544,35.831) → (0.542,35.832)",0.20347322788706998,57339.797894541814,"(0.544,35.831)","(0.542,35.832)",Nandi North District,Nandi North District,Baringo,Baringo
