,length_km,n_baseline,source_tile,target_tile,source_kommune,target_kommune,source_region,target_region
"(0.561,35.828) → (0.562,35.827)",0.11640696117482999,56638.827815872304,"(0.561,35.828)","(0.562,35.827)",Baringo South,Baringo South,Baringo,Baringo
"(0.016,35.785) → (0.016,35.784)",0.11748981425611998,51882.28546577436,"(0.016,35.785)","(0.016,35.784)",Eldama Ravine,Eldama Ravine,Baringo,Baringo
"(0.019,35.781) → (0.019,35.78)",0.036444526793993993,51865.54456939838,"(0.019,35.781)","(0.019,35.78)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.019,35.781) → (0.02,35.78)",0.15500178284583,51897.88901642001,"(0.019,35.781)","(0.02,35.78)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.022,35.781) → (0.022,35.78)",0.045464196507641004,51843.314285473556,"(0.022,35.781)","(0.022,35.78)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.025,35.779)",0.051167570697168,51863.02958432576,"(0.025,35.779)","(0.025,35.779)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.025,35.78) → (0.025,35.779)",0.095289699719388,51866.3165570971,"(0.025,35.78)","(0.025,35.779)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.026,35.774) → (0.026,35.773)",0.16723698515256,51948.17754585286,"(0.026,35.774)","(0.026,35.773)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.026,35.774)",0.0,51987.57564826758,"(0.026,35.774)","(0.026,35.774)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.03,35.776) → (0.031,35.775)",0.11497652574275,51862.57847672973,"(0.03,35.776)","(0.031,35.775)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.03,35.78) → (0.03,35.779)",0.1170164284294,51933.009628737986,"(0.03,35.78)","(0.03,35.779)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.537,35.827) → (0.538,35.827)",0.10661081634105,56655.86189234757,"(0.537,35.827)","(0.538,35.827)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.539,35.827) → (0.54,35.827)",0.13921165476636,56596.283776976896,"(0.539,35.827)","(0.54,35.827)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.539,35.83) → (0.539,35.829)",0.05440778115077599,56753.77095038147,"(0.539,35.83)","(0.539,35.829)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.542,35.828) → (0.543,35.828)",0.13236386817455,56620.552122370944,"(0.542,35.828)","(0.543,35.828)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.546,35.824) → (0.547,35.824)",0.18598484396294002,56710.76084936324,"(0.546,35.824)","(0.547,35.824)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.547,35.825)",0.05665309080927201,56621.39488552125,"(0.547,35.825)","(0.547,35.825)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.552,35.828) → (0.552,35.827)",0.07209162716855799,56617.80656470692,"(0.552,35.828)","(0.552,35.827)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.554,35.827) → (0.556,35.827)",0.199368874972,56617.31409978892,"(0.554,35.827)","(0.556,35.827)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.558,35.83)",0.016397077457365,56694.202345086065,"(0.558,35.83)","(0.558,35.83)",Nandi North District,Nandi North District,Baringo,Baringo
"(-0.75,35.276) → (-0.749,35.277)",0.12064405056297998,133143.21485862433,"(-0.75,35.276)","(-0.749,35.277)",Bomet Central,Bomet Central,Bomet,Bomet
"(-0.74,35.272) → (-0.738,35.273)",0.14068860717463,133312.31078985814,"(-0.74,35.272)","(-0.738,35.273)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.742,35.275) → (-0.741,35.275)",0.10015447564072,133102.23455446106,"(-0.742,35.275)","(-0.741,35.275)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.745,35.28) → (-0.746,35.28)",0.048478904185772005,133413.4163978269,"(-0.745,35.28)","(-0.746,35.28)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.746,35.272)",0.07768648052364,133100.25343656857,"(-0.746,35.272)","(-0.746,35.272)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.746,35.277)",0.020316380855175,133043.20484199724,"(-0.746,35.277)","(-0.746,35.277)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.746,35.28) → (-0.745,35.28)",0.15261608744684999,133183.25756062794,"(-0.746,35.28)","(-0.745,35.28)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.747,35.277) → (-0.746,35.277)",0.13946673273718999,133092.6416841192,"(-0.747,35.277)","(-0.746,35.277)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.749,35.271) → (-0.748,35.271)",0.062719231924537,133273.38603492005,"(-0.749,35.271)","(-0.748,35.271)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.751,35.274)",0.027408374454262,133093.79934159407,"(-0.751,35.274)","(-0.751,35.274)",Trans Mara District,Trans Mara District,Bomet,Bomet
"(0.624,34.633) → (0.623,34.633)",0.09988217231002001,289756.5498474544,"(0.624,34.633)","(0.623,34.633)",Butere/Mumias District,Butere/Mumias District,Bungoma,Bungoma
"(0.626,34.63) → (0.625,34.63)",0.06915246431974001,289451.84794054454,"(0.626,34.63)","(0.625,34.63)",Butere/Mumias District,Butere/Mumias District,Bungoma,Bungoma
"(0.626,34.631) → (0.625,34.631)",0.11216980707527001,289559.40386815125,"(0.626,34.631)","(0.625,34.631)",Butere/Mumias District,Butere/Mumias District,Bungoma,Bungoma
"(0.627,34.635) → (0.625,34.634)",0.1453223647781,290257.28869260027,"(0.627,34.635)","(0.625,34.634)",Butere/Mumias District,Butere/Mumias District,Bungoma,Bungoma
"(0.628,34.638) → (0.627,34.638)",0.11370278341405,290037.3210129396,"(0.628,34.638)","(0.627,34.638)",Butere/Mumias District,Butere/Mumias District,Bungoma,Bungoma
"(0.629,34.636) → (0.628,34.636)",0.06428252081777901,289561.9224943057,"(0.629,34.636)","(0.628,34.636)",Butere/Mumias District,Butere/Mumias District,Bungoma,Bungoma
"(0.629,34.639) → (0.628,34.639)",0.09001127450579699,289580.2743368896,"(0.629,34.639)","(0.628,34.639)",Butere/Mumias District,Butere/Mumias District,Bungoma,Bungoma
"(0.63,34.635) → (0.628,34.634)",0.13261401333916,289952.635423316,"(0.63,34.635)","(0.628,34.634)",Butere/Mumias District,Butere/Mumias District,Bungoma,Bungoma
"(0.63,34.638) → (0.63,34.639)",0.023547397589907003,289575.9641713637,"(0.63,34.638)","(0.63,34.639)",Butere/Mumias District,Butere/Mumias District,Bungoma,Bungoma
"(0.625,34.627) → (0.624,34.627)",0.10169488828354,289669.4320265537,"(0.625,34.627)","(0.624,34.627)",Kabuchai,Kabuchai,Bungoma,Bungoma
"(0.835,34.627) → (0.837,34.625)",0.32138718696572,13016.919942748043,"(0.835,34.627)","(0.837,34.625)",Lugari District,Lugari District,Bungoma,Bungoma
"(0.832,34.593) → (0.83,34.591)",0.20524126401937,12990.556838502824,"(0.832,34.593)","(0.83,34.591)",Mt Elgon,Mt Elgon,Bungoma,Bungoma
"(0.831,34.603)",0.0,12985.622499951587,"(0.831,34.603)","(0.831,34.603)",Teso District,Teso District,Bungoma,Bungoma
"(0.831,34.612)",0.0,13003.257418597723,"(0.831,34.612)","(0.831,34.612)",Teso District,Teso District,Bungoma,Bungoma
"(0.831,34.615) → (0.832,34.615)",0.19543712505645996,13007.055240679643,"(0.831,34.615)","(0.832,34.615)",Teso District,Teso District,Bungoma,Bungoma
"(0.832,34.604)",0.0,12994.463736776966,"(0.832,34.604)","(0.832,34.604)",Teso District,Teso District,Bungoma,Bungoma
"(0.832,34.608)",0.0,12986.36516568141,"(0.832,34.608)","(0.832,34.608)",Teso District,Teso District,Bungoma,Bungoma
"(0.832,34.621)",0.0,12986.55845998194,"(0.832,34.621)","(0.832,34.621)",Teso District,Teso District,Bungoma,Bungoma
"(0.833,34.591)",0.0,12980.79903141672,"(0.833,34.591)","(0.833,34.591)",Teso District,Teso District,Bungoma,Bungoma
"(0.837,34.619) → (0.838,34.618)",0.18675198184512,12985.735450620856,"(0.837,34.619)","(0.838,34.618)",Teso District,Teso District,Bungoma,Bungoma
"(0.4,34.151)",0.065554650560422,140377.95574406744,"(0.4,34.151)","(0.4,34.151)",Matayos,Matayos,Busia,Busia
"(0.395,34.146) → (0.396,34.146)",0.09680724327980401,140332.6598826865,"(0.395,34.146)","(0.396,34.146)",Teso District,Teso District,Busia,Busia
"(0.4,34.146)",0.11256202914228,140324.63452255377,"(0.4,34.146)","(0.4,34.146)",Teso District,Teso District,Busia,Busia
"(0.401,34.142)",0.031093155267932004,140325.8550848629,"(0.401,34.142)","(0.401,34.142)",Teso District,Teso District,Busia,Busia
"(0.401,34.145) → (0.4,34.145)",0.093214042285866,140272.51137949392,"(0.401,34.145)","(0.4,34.145)",Teso District,Teso District,Busia,Busia
"(0.402,34.143) → (0.403,34.143)",0.13023972575974,140556.24001620588,"(0.402,34.143)","(0.403,34.143)",Teso District,Teso District,Busia,Busia
"(0.403,34.148)",0.029364899726547995,140515.2001665083,"(0.403,34.148)","(0.403,34.148)",Teso District,Teso District,Busia,Busia
"(0.404,34.144)",0.0063043398867702,140334.7486506356,"(0.404,34.144)","(0.404,34.144)",Teso District,Teso District,Busia,Busia
"(0.404,34.151)",0.024709895876139,140420.17428787908,"(0.404,34.151)","(0.404,34.151)",Teso District,Teso District,Busia,Busia
