,length_km,n_baseline,source_tile,target_tile,source_kommune,target_kommune,source_region,target_region
"(0.558,35.838) → (0.555,35.838)",0.27225455858152,46676.363218335355,"(0.558,35.838)","(0.555,35.838)",Baringo South,Baringo South,Baringo,Baringo
"(0.003,35.791) → (0.002,35.791)",0.05624995143305,55054.1720011135,"(0.003,35.791)","(0.002,35.791)",Eldama Ravine,Eldama Ravine,Baringo,Baringo
"(0.012,35.781) → (0.012,35.782)",0.16000681032929,55156.406268030645,"(0.012,35.781)","(0.012,35.782)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.017,35.79) → (0.017,35.791)",0.17232530775552998,55129.47554573961,"(0.017,35.79)","(0.017,35.791)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.018,35.783) → (0.017,35.785)",0.26435307338139,55160.87489338766,"(0.018,35.783)","(0.017,35.785)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.018,35.784)",0.041463365990067,55030.8563751659,"(0.018,35.784)","(0.018,35.784)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.019,35.782) → (0.019,35.783)",0.10819274340213,55047.530816379156,"(0.019,35.782)","(0.019,35.783)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.019,35.789) → (0.019,35.79)",0.070951640095732,55114.976401788335,"(0.019,35.789)","(0.019,35.79)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.023,35.773) → (0.021,35.774)",0.17882601044242002,55032.072478956645,"(0.023,35.773)","(0.021,35.774)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.024,35.774) → (0.023,35.775)",0.11117881519741998,55034.43660126397,"(0.024,35.774)","(0.023,35.775)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.026,35.781) → (0.023,35.783)",0.30685346787051,55032.28575212473,"(0.026,35.781)","(0.023,35.783)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.531,35.831) → (0.529,35.83)",0.26432364710203,46740.20752790967,"(0.531,35.831)","(0.529,35.83)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.54,35.819) → (0.538,35.819)",0.3117709678111,46727.914775429235,"(0.54,35.819)","(0.538,35.819)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.543,35.825) → (0.541,35.825)",0.250153365988,46766.828713959105,"(0.543,35.825)","(0.541,35.825)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.544,35.829) → (0.543,35.826)",0.28779549520815,46763.040096808596,"(0.544,35.829)","(0.543,35.826)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.544,35.831) → (0.542,35.834)",0.33697672547610996,46657.626666941505,"(0.544,35.831)","(0.542,35.834)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.546,35.833)",0.098813039842688,46656.595622423265,"(0.546,35.833)","(0.546,35.833)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.558,35.833) → (0.557,35.836)",0.36141741729503996,46670.732648669284,"(0.558,35.833)","(0.557,35.836)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.559,35.831) → (0.555,35.831)",0.41856020211264,46657.807485497055,"(0.559,35.831)","(0.555,35.831)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.561,35.835) → (0.559,35.835)",0.26040315995058,46659.63103150641,"(0.561,35.835)","(0.559,35.835)",Nandi North District,Nandi North District,Baringo,Baringo
"(-0.744,35.284) → (-0.747,35.282)",0.37019438647841996,119842.55992126444,"(-0.744,35.284)","(-0.747,35.282)",Bomet Central,Bomet Central,Bomet,Bomet
"(-0.736,35.275) → (-0.738,35.272)",0.33852497254575,120065.10465881453,"(-0.736,35.275)","(-0.738,35.272)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.742,35.277) → (-0.743,35.275)",0.2228107800584,119974.91964563199,"(-0.742,35.277)","(-0.743,35.275)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.744,35.275) → (-0.745,35.274)",0.25756398209975,119794.45342520707,"(-0.744,35.275)","(-0.745,35.274)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.744,35.282) → (-0.746,35.279)",0.39000978105973994,120074.83201430184,"(-0.744,35.282)","(-0.746,35.279)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.745,35.273) → (-0.747,35.272)",0.25790062746833997,119791.80619637562,"(-0.745,35.273)","(-0.747,35.272)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.745,35.274) → (-0.746,35.273)",0.16213195011301998,119828.10331333548,"(-0.745,35.274)","(-0.746,35.273)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.747,35.274) → (-0.748,35.272)",0.26720134982392,120006.48155029114,"(-0.747,35.274)","(-0.748,35.272)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.747,35.281) → (-0.747,35.28)",0.14874890177378,119794.91768071208,"(-0.747,35.281)","(-0.747,35.28)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.747,35.281) → (-0.75,35.279)",0.31758174566411,119799.59967405577,"(-0.747,35.281)","(-0.75,35.279)",Central Kisii,Trans Mara District,Bomet,Bomet
"(-0.519,35.211) → (-0.623,35.189)",11.85931395937,2352.8204900423493,"(-0.519,35.211)","(-0.623,35.189)",Nyando District,Central Kisii,Bomet,Kericho
"(0.623,34.629) → (0.625,34.629)",0.24410488006729,265032.2979047978,"(0.623,34.629)","(0.625,34.629)",Butere/Mumias District,Butere/Mumias District,Bungoma,Bungoma
"(0.624,34.631) → (0.625,34.631)",0.15435613291882,265042.6562695655,"(0.624,34.631)","(0.625,34.631)",Butere/Mumias District,Butere/Mumias District,Bungoma,Bungoma
"(0.625,34.627) → (0.627,34.627)",0.2543148533967,265651.5757546771,"(0.625,34.627)","(0.627,34.627)",Butere/Mumias District,Teso District,Bungoma,Bungoma
"(0.625,34.632) → (0.627,34.631)",0.28348860196209996,265500.35831665614,"(0.625,34.632)","(0.627,34.631)",Butere/Mumias District,Butere/Mumias District,Bungoma,Bungoma
"(0.625,34.64) → (0.627,34.639)",0.25034077990686,265630.0551140085,"(0.625,34.64)","(0.627,34.639)",Butere/Mumias District,Butere/Mumias District,Bungoma,Bungoma
"(0.627,34.632) → (0.628,34.632)",0.13094517316442,265025.4141082265,"(0.627,34.632)","(0.628,34.632)",Butere/Mumias District,Butere/Mumias District,Bungoma,Bungoma
"(0.627,34.633) → (0.628,34.633)",0.20252873890678,265031.270793584,"(0.627,34.633)","(0.628,34.633)",Butere/Mumias District,Butere/Mumias District,Bungoma,Bungoma
"(0.627,34.637) → (0.629,34.637)",0.22994116030463,265105.71725047525,"(0.627,34.637)","(0.629,34.637)",Butere/Mumias District,Butere/Mumias District,Bungoma,Bungoma
"(0.628,34.639) → (0.629,34.639)",0.082007619638006,265430.5312799169,"(0.628,34.639)","(0.629,34.639)",Butere/Mumias District,Butere/Mumias District,Bungoma,Bungoma
"(0.624,34.628) → (0.627,34.627)",0.30073830262096996,265137.7008111596,"(0.624,34.628)","(0.627,34.627)",Kabuchai,Kabuchai,Bungoma,Bungoma
"(0.84,34.625) → (0.84,34.624)",0.19543914502195,11591.778057306103,"(0.84,34.625)","(0.84,34.624)",Lugari District,Teso District,Bungoma,Bungoma
"(0.827,34.569) → (0.825,34.569)",0.15761239260355,11569.354985741242,"(0.827,34.569)","(0.825,34.569)",Mt Elgon,Mt Elgon,Bungoma,Bungoma
"(0.83,34.601)",0.0,11582.132722114939,"(0.83,34.601)","(0.83,34.601)",Teso District,Teso District,Bungoma,Bungoma
"(0.831,34.606) → (0.831,34.605)",0.098706866195333,11590.838998354267,"(0.831,34.606)","(0.831,34.605)",Teso District,Teso District,Bungoma,Bungoma
"(0.832,34.604)",0.044017912908022004,11567.959374456488,"(0.832,34.604)","(0.832,34.604)",Teso District,Teso District,Bungoma,Bungoma
