,length_km,n_baseline,source_tile,target_tile,source_kommune,target_kommune,source_region,target_region
"(0.552,35.832) → (0.55,35.833)",0.26267230968127,57145.145500117666,"(0.552,35.832)","(0.55,35.833)",Baringo South,Baringo South,Baringo,Baringo
"(0.01,35.787) → (0.009,35.789)",0.14259775459726,52266.90137205884,"(0.01,35.787)","(0.009,35.789)",Eldama Ravine,Eldama Ravine,Baringo,Baringo
"(0.015,35.779) → (0.014,35.781)",0.21657548493301002,52389.61688649274,"(0.015,35.779)","(0.014,35.781)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.015,35.79) → (0.014,35.791)",0.18430330005829001,52379.268033809836,"(0.015,35.79)","(0.014,35.791)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.015,35.792)",0.074262968110407,52402.66788791892,"(0.015,35.792)","(0.015,35.792)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.019,35.785) → (0.018,35.786)",0.13469808729321,52242.23896742599,"(0.019,35.785)","(0.018,35.786)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.021,35.789) → (0.02,35.791)",0.20604876892389998,52322.821417985055,"(0.021,35.789)","(0.02,35.791)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.022,35.777) → (0.021,35.779)",0.21485032055757,52327.401899578756,"(0.022,35.777)","(0.021,35.779)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.023,35.776) → (0.022,35.779)",0.31845216046770003,52255.611666010336,"(0.023,35.776)","(0.022,35.779)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.027,35.779) → (0.026,35.781)",0.26580426888866,52247.50544537536,"(0.027,35.779)","(0.026,35.781)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.029,35.773) → (0.029,35.775)",0.17876521115901,52270.63031577003,"(0.029,35.773)","(0.029,35.775)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.534,35.837) → (0.532,35.835)",0.25630344039442005,57267.99971696542,"(0.534,35.837)","(0.532,35.835)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.54,35.815) → (0.537,35.818)",0.42206915792842,57279.314462565395,"(0.54,35.815)","(0.537,35.818)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.545,35.839) → (0.54,35.84)",0.5864854377993101,57211.29274353944,"(0.545,35.839)","(0.54,35.84)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.55,35.827) → (0.548,35.829)",0.23950796286384002,57149.22247857523,"(0.55,35.827)","(0.548,35.829)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.55,35.836) → (0.549,35.835)",0.19763123983864003,57118.18127105241,"(0.55,35.836)","(0.549,35.835)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.552,35.843)",0.015174935038193001,57293.58355745802,"(0.552,35.843)","(0.552,35.843)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.556,35.833) → (0.554,35.834)",0.17398368505737,57132.802088171295,"(0.556,35.833)","(0.554,35.834)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.561,35.832) → (0.557,35.835)",0.51306283871964,57123.93928694373,"(0.561,35.832)","(0.557,35.835)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.567,35.835) → (0.566,35.835)",0.039487241575447,57206.28475033033,"(0.567,35.835)","(0.566,35.835)",Nandi North District,Nandi North District,Baringo,Baringo
"(-0.743,35.281) → (-0.744,35.277)",0.40850479841690995,127929.46335827735,"(-0.743,35.281)","(-0.744,35.277)",Bomet Central,Bomet Central,Bomet,Bomet
"(-0.74,35.283) → (-0.742,35.282)",0.25589402655773996,127938.59039193236,"(-0.74,35.283)","(-0.742,35.282)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.742,35.276) → (-0.745,35.275)",0.27577137084631,128261.76806852536,"(-0.742,35.276)","(-0.745,35.275)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.743,35.275) → (-0.744,35.273)",0.21966537556048002,128066.33432783007,"(-0.743,35.275)","(-0.744,35.273)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.744,35.276) → (-0.744,35.274)",0.17292846948399,128229.82418884413,"(-0.744,35.276)","(-0.744,35.274)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.744,35.277) → (-0.744,35.275)",0.22619018219283,128077.54560182609,"(-0.744,35.277)","(-0.744,35.275)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.745,35.276) → (-0.747,35.273)",0.34712544381253996,127901.830458711,"(-0.745,35.276)","(-0.747,35.273)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.745,35.277) → (-0.746,35.274)",0.30021062413974,127881.98951868064,"(-0.745,35.277)","(-0.746,35.274)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.745,35.279) → (-0.746,35.277)",0.23604854794354,127869.09918693789,"(-0.745,35.279)","(-0.746,35.277)",Central Kisii,Central Kisii,Bomet,Bomet
