,length_km,n_baseline,source_tile,target_tile,source_kommune,target_kommune,source_region,target_region
"(0.561,35.838) → (0.561,35.84)",0.21309132719804,45944.25770723907,"(0.561,35.838)","(0.561,35.84)",Baringo South,Baringo South,Baringo,Baringo
"(0.017,35.786)",0.027764213371089,46746.4590322861,"(0.017,35.786)","(0.017,35.786)",Eldama Ravine,Eldama Ravine,Baringo,Baringo
"(0.022,35.778) → (0.023,35.777)",0.095621952345653,46715.77836336686,"(0.022,35.778)","(0.023,35.777)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.023,35.777) → (0.024,35.777)",0.08470448830636298,46710.911784978394,"(0.023,35.777)","(0.024,35.777)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.024,35.776) → (0.024,35.775)",0.14760959453623002,46796.05613885913,"(0.024,35.776)","(0.024,35.775)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.025,35.775) → (0.026,35.774)",0.15881134021964,46752.98223547883,"(0.025,35.775)","(0.026,35.774)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.026,35.775)",0.036285913150439,46744.552324105796,"(0.026,35.775)","(0.026,35.775)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.027,35.784) → (0.026,35.783)",0.093893356725672,46799.5904549298,"(0.027,35.784)","(0.026,35.783)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.028,35.781) → (0.029,35.78)",0.10668850009809,46744.32899079103,"(0.028,35.781)","(0.029,35.78)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.03,35.77) → (0.031,35.768)",0.14700906097879998,46820.1180650573,"(0.03,35.77)","(0.031,35.768)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.03,35.786)",0.07381423496627298,46829.438732125716,"(0.03,35.786)","(0.03,35.786)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.533,35.821) → (0.534,35.821)",0.04482870717705201,45914.103539658536,"(0.533,35.821)","(0.534,35.821)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.534,35.844) → (0.534,35.845)",0.14885689469001,45909.320475095774,"(0.534,35.844)","(0.534,35.845)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.538,35.828) → (0.54,35.828)",0.24595616186067001,45996.477358199336,"(0.538,35.828)","(0.54,35.828)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.541,35.836) → (0.542,35.835)",0.15534329671797,46025.813418469894,"(0.541,35.836)","(0.542,35.835)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.542,35.824) → (0.543,35.823)",0.11302907725084,46016.652700446335,"(0.542,35.824)","(0.543,35.823)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.546,35.83) → (0.545,35.831)",0.10211289448787,45950.66896778731,"(0.546,35.83)","(0.545,35.831)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.552,35.836) → (0.553,35.836)",0.12606175470447,45942.38371947996,"(0.552,35.836)","(0.553,35.836)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.553,35.841) → (0.554,35.841)",0.16949391669532002,45993.00369341849,"(0.553,35.841)","(0.554,35.841)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.558,35.835) → (0.56,35.836)",0.15927314873408,45942.16421871817,"(0.558,35.835)","(0.56,35.836)",Nandi North District,Nandi North District,Baringo,Baringo
"(-0.745,35.274) → (-0.744,35.277)",0.26165951424817,119017.50567970502,"(-0.745,35.274)","(-0.744,35.277)",Bomet Central,Bomet Central,Bomet,Bomet
