,length_km,n_baseline,source_tile,target_tile,source_kommune,target_kommune,source_region,target_region
"(0.016,35.783) → (0.015,35.782)",0.09248575460002,48554.42567237395,"(0.016,35.783)","(0.015,35.782)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.023,35.771) → (0.023,35.77)",0.18233664148460002,48457.566239800515,"(0.023,35.771)","(0.023,35.77)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.023,35.78) → (0.025,35.777)",0.39819355942468004,48456.848303563136,"(0.023,35.78)","(0.025,35.777)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.024,35.779) → (0.025,35.78)",0.12614692391394,48471.91708044605,"(0.024,35.779)","(0.025,35.78)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.026,35.778) → (0.027,35.777)",0.18693406256345,48506.894007788935,"(0.026,35.778)","(0.027,35.777)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.026,35.779) → (0.026,35.78)",0.12121921894653,48556.817986908696,"(0.026,35.779)","(0.026,35.78)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.029,35.774) → (0.029,35.772)",0.20338393210776,48543.71180063396,"(0.029,35.774)","(0.029,35.772)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.03,35.774) → (0.031,35.775)",0.075179199761518,48527.55083369392,"(0.03,35.774)","(0.031,35.775)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.032,35.778) → (0.033,35.776)",0.20396229766093002,48489.51850699205,"(0.032,35.778)","(0.033,35.776)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.53,35.827) → (0.532,35.828)",0.20742295402366,50657.736717658765,"(0.53,35.827)","(0.532,35.828)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.536,35.84) → (0.538,35.841)",0.20120716210418002,50748.54551598223,"(0.536,35.84)","(0.538,35.841)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.541,35.822) → (0.543,35.821)",0.27357518922317003,50673.48991165954,"(0.541,35.822)","(0.543,35.821)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.541,35.848) → (0.542,35.847)",0.18570838028835998,50762.246979385694,"(0.541,35.848)","(0.542,35.847)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.549,35.823) → (0.551,35.824)",0.25252173032518,50710.05547542524,"(0.549,35.823)","(0.551,35.824)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.549,35.837) → (0.55,35.836)",0.11223573906337,50658.4872622395,"(0.549,35.837)","(0.55,35.836)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.553,35.83) → (0.554,35.831)",0.11623553316529,50759.74600699294,"(0.553,35.83)","(0.554,35.831)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.555,35.838) → (0.556,35.838)",0.11745508049228,50691.89078714026,"(0.555,35.838)","(0.556,35.838)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.564,35.829) → (0.566,35.827)",0.33507521697261,50731.6505251396,"(0.564,35.829)","(0.566,35.827)",Nandi North District,Nandi North District,Baringo,Baringo
"(-0.741,35.267) → (-0.74,35.268)",0.11113960467546001,126236.0727194315,"(-0.741,35.267)","(-0.74,35.268)",Central Kisii,Central Kisii,Bomet,Bomet
