,length_km,n_baseline,source_tile,target_tile,source_kommune,target_kommune,source_region,target_region
"(0.015,35.784) → (0.015,35.783)",0.069641377100769,49245.4796110052,"(0.015,35.784)","(0.015,35.783)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.016,35.79)",0.044046334550814005,49318.527513012865,"(0.016,35.79)","(0.016,35.79)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.02,35.781)",0.050812866089601,49245.39809031348,"(0.02,35.781)","(0.02,35.781)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.022,35.771) → (0.023,35.771)",0.07715528768386701,49260.97555618609,"(0.022,35.771)","(0.023,35.771)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.022,35.784) → (0.022,35.783)",0.15388668680042,49329.62311429883,"(0.022,35.784)","(0.022,35.783)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.023,35.772) → (0.024,35.772)",0.06863064736936099,49288.767849669544,"(0.023,35.772)","(0.024,35.772)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.024,35.784)",0.071984977265255,49285.604992936554,"(0.024,35.784)","(0.024,35.784)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.025,35.78) → (0.024,35.78)",0.062327837933647996,49278.98863805014,"(0.025,35.78)","(0.024,35.78)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.031,35.781)",0.0,49264.94884442504,"(0.031,35.781)","(0.031,35.781)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.528,35.823) → (0.528,35.825)",0.18041706844117,50607.59267286197,"(0.528,35.823)","(0.528,35.825)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.537,35.824) → (0.54,35.824)",0.28344130816274,50623.60103259358,"(0.537,35.824)","(0.54,35.824)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.539,35.83) → (0.541,35.83)",0.22052377446694002,50607.67644852671,"(0.539,35.83)","(0.541,35.83)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.539,35.834) → (0.54,35.833)",0.13057268517231,50652.16209865454,"(0.539,35.834)","(0.54,35.833)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.542,35.839) → (0.543,35.84)",0.25479971044466,50694.147475381695,"(0.542,35.839)","(0.543,35.84)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.547,35.82)",0.07265916851002902,50642.11238076234,"(0.547,35.82)","(0.547,35.82)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.552,35.829) → (0.555,35.829)",0.32734010270054,50682.74495469721,"(0.552,35.829)","(0.555,35.829)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.565,35.832) → (0.566,35.832)",0.11009792552881001,50648.9117530094,"(0.565,35.832)","(0.566,35.832)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.567,35.838) → (0.569,35.838)",0.16780925145445,50627.68422738064,"(0.567,35.838)","(0.569,35.838)",Nandi North District,Nandi North District,Baringo,Baringo
"(-0.741,35.267) → (-0.741,35.266)",0.040897159981365,128778.78406321876,"(-0.741,35.267)","(-0.741,35.266)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.745,35.269) → (-0.744,35.269)",0.07999787388153,128885.52828773634,"(-0.745,35.269)","(-0.744,35.269)",Central Kisii,Central Kisii,Bomet,Bomet
