,length_km,n_baseline,source_tile,target_tile,source_kommune,target_kommune,source_region,target_region
"(0.013,35.779) → (0.012,35.782)",0.29109097996828004,55164.09751603091,"(0.013,35.779)","(0.012,35.782)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.014,35.779) → (0.013,35.78)",0.1317132446641,55323.22677196958,"(0.014,35.779)","(0.013,35.78)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.015,35.783) → (0.016,35.784)",0.07311291873843699,55136.37330411929,"(0.015,35.783)","(0.016,35.784)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.016,35.784) → (0.016,35.786)",0.22246763624379,55142.023618771826,"(0.016,35.784)","(0.016,35.786)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.019,35.78) → (0.018,35.782)",0.23017230232495003,55263.377323559245,"(0.019,35.78)","(0.018,35.782)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.02,35.782) → (0.019,35.783)",0.09361966118604599,55232.921436294295,"(0.02,35.782)","(0.019,35.783)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.022,35.77) → (0.021,35.772)",0.28837943614984,55248.05821167728,"(0.022,35.77)","(0.021,35.772)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.027,35.772) → (0.026,35.774)",0.25232246543407,55134.72053162445,"(0.027,35.772)","(0.026,35.774)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.029,35.781) → (0.028,35.781)",0.034042163657247,55137.3562645358,"(0.029,35.781)","(0.028,35.781)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.537,35.831) → (0.534,35.832)",0.35826770300793,58834.51644162964,"(0.537,35.831)","(0.534,35.832)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.538,35.825) → (0.535,35.826)",0.33356124190739,58665.28746907789,"(0.538,35.825)","(0.535,35.826)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.539,35.822) → (0.538,35.821)",0.17176679361866,58754.57703544424,"(0.539,35.822)","(0.538,35.821)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.543,35.819) → (0.542,35.82)",0.21619432879988,58770.86843044197,"(0.543,35.819)","(0.542,35.82)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.55,35.829) → (0.547,35.83)",0.33474675307202,58635.80363928848,"(0.55,35.829)","(0.547,35.83)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.553,35.822) → (0.552,35.822)",0.091650344726624,58636.84898686058,"(0.553,35.822)","(0.552,35.822)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.557,35.825) → (0.554,35.826)",0.29597594323357,58634.04596757995,"(0.557,35.825)","(0.554,35.826)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.565,35.836) → (0.561,35.835)",0.37846083228558003,58641.81257169756,"(0.565,35.836)","(0.561,35.835)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.574,35.841) → (0.572,35.842)",0.20419088489291,58738.47954959415,"(0.574,35.841)","(0.572,35.842)",Nandi North District,Nandi North District,Baringo,Baringo
"(-0.739,35.276) → (-0.74,35.274)",0.19872205836392,133243.87728123105,"(-0.739,35.276)","(-0.74,35.274)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.741,35.276) → (-0.743,35.274)",0.25283740410999,133206.94182844993,"(-0.741,35.276)","(-0.743,35.274)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.744,35.281) → (-0.745,35.28)",0.13296958690426,133388.17849743515,"(-0.744,35.281)","(-0.745,35.28)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.744,35.283) → (-0.745,35.281)",0.25883087265557997,132933.67673565837,"(-0.744,35.283)","(-0.745,35.281)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.745,35.285) → (-0.747,35.282)",0.3520495686879,132951.28499079522,"(-0.745,35.285)","(-0.747,35.282)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.746,35.278) → (-0.747,35.277)",0.19372215380695001,132937.66168602044,"(-0.746,35.278)","(-0.747,35.277)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.747,35.276) → (-0.749,35.274)",0.32703526256734,132940.0316725007,"(-0.747,35.276)","(-0.749,35.274)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.747,35.277) → (-0.748,35.275)",0.26803626442573,133170.4460017516,"(-0.747,35.277)","(-0.748,35.275)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.748,35.269) → (-0.748,35.267)",0.19533055661591,133004.5067047033,"(-0.748,35.269)","(-0.748,35.267)",Central Kisii,Central Kisii,Bomet,Bomet
"(0.621,34.628) → (0.623,34.629)",0.23866557283406,290889.43529666495,"(0.621,34.628)","(0.623,34.629)",Butere/Mumias District,Butere/Mumias District,Bungoma,Bungoma
"(0.623,34.63) → (0.625,34.629)",0.19631512465509998,290859.6283231326,"(0.623,34.63)","(0.625,34.629)",Butere/Mumias District,Butere/Mumias District,Bungoma,Bungoma
"(0.623,34.631) → (0.625,34.63)",0.22332962281528,291845.3320782572,"(0.623,34.631)","(0.625,34.63)",Butere/Mumias District,Butere/Mumias District,Bungoma,Bungoma
"(0.624,34.632) → (0.626,34.632)",0.19363239195001997,290850.909490813,"(0.624,34.632)","(0.626,34.632)",Butere/Mumias District,Butere/Mumias District,Bungoma,Bungoma
"(0.624,34.636) → (0.626,34.637)",0.25101595147849,290864.81371136673,"(0.624,34.636)","(0.626,34.637)",Butere/Mumias District,Butere/Mumias District,Bungoma,Bungoma
"(0.626,34.638) → (0.628,34.638)",0.21079858773185997,291448.7971196082,"(0.626,34.638)","(0.628,34.638)",Butere/Mumias District,Butere/Mumias District,Bungoma,Bungoma
"(0.627,34.636) → (0.628,34.636)",0.11169218891187,291005.8812137188,"(0.627,34.636)","(0.628,34.636)",Butere/Mumias District,Butere/Mumias District,Bungoma,Bungoma
"(0.627,34.639) → (0.629,34.639)",0.23729352926939004,291529.6096743922,"(0.627,34.639)","(0.629,34.639)",Butere/Mumias District,Butere/Mumias District,Bungoma,Bungoma
"(0.629,34.637) → (0.631,34.637)",0.21585042439898997,291368.94644031854,"(0.629,34.637)","(0.631,34.637)",Butere/Mumias District,Butere/Mumias District,Bungoma,Bungoma
"(0.826,34.592) → (0.825,34.588)",0.47102057091207,11806.338213763072,"(0.826,34.592)","(0.825,34.588)",Teso District,Teso District,Bungoma,Bungoma
"(0.83,34.599) → (0.83,34.597)",0.24739195927735,11821.06805647627,"(0.83,34.599)","(0.83,34.597)",Teso District,Teso District,Bungoma,Bungoma
"(0.83,34.616)",0.0,11827.586290651057,"(0.83,34.616)","(0.83,34.616)",Teso District,Teso District,Bungoma,Bungoma
"(0.831,34.6) → (0.831,34.598)",0.20572587470356,11840.395397690907,"(0.831,34.6)","(0.831,34.598)",Teso District,Teso District,Bungoma,Bungoma
"(0.833,34.594)",0.0,11800.050888687152,"(0.833,34.594)","(0.833,34.594)",Teso District,Teso District,Bungoma,Bungoma
"(0.833,34.604) → (0.835,34.606)",0.19556000092592998,11801.613911028657,"(0.833,34.604)","(0.835,34.606)",Teso District,Teso District,Bungoma,Bungoma
"(0.834,34.595) → (0.834,34.596)",0.13447667618818,11800.404618593797,"(0.834,34.595)","(0.834,34.596)",Teso District,Teso District,Bungoma,Bungoma
"(0.834,34.609)",0.0,11824.307661539786,"(0.834,34.609)","(0.834,34.609)",Teso District,Teso District,Bungoma,Bungoma
"(0.836,34.596)",0.0,11800.61499388589,"(0.836,34.596)","(0.836,34.596)",Teso District,Teso District,Bungoma,Bungoma
"(0.395,34.146)",0.064926646936578,141676.05856515688,"(0.395,34.146)","(0.395,34.146)",Teso District,Teso District,Busia,Busia
"(0.396,34.143) → (0.395,34.142)",0.17701891794368,141607.3799266307,"(0.396,34.143)","(0.395,34.142)",Teso District,Teso District,Busia,Busia
"(0.396,34.146) → (0.397,34.147)",0.18281336693903,141619.36693234387,"(0.396,34.146)","(0.397,34.147)",Teso District,Teso District,Busia,Busia
"(0.397,34.146)",0.04749471671574299,141852.81667771522,"(0.397,34.146)","(0.397,34.146)",Teso District,Teso District,Busia,Busia
"(0.397,34.15) → (0.398,34.15)",0.11479155483388999,141600.61066424582,"(0.397,34.15)","(0.398,34.15)",Teso District,Teso District,Busia,Busia
"(0.399,34.149) → (0.398,34.15)",0.10634607755278999,141604.85542312555,"(0.399,34.149)","(0.398,34.15)",Teso District,Teso District,Busia,Busia
"(0.4,34.146) → (0.401,34.146)",0.087139973742715,141891.69193847742,"(0.4,34.146)","(0.401,34.146)",Teso District,Teso District,Busia,Busia
"(0.402,34.151) → (0.402,34.15)",0.08582262595654999,142084.74477229087,"(0.402,34.151)","(0.402,34.15)",Teso District,Teso District,Busia,Busia
"(0.406,34.144) → (0.405,34.144)",0.11927490605961001,141931.03548781268,"(0.406,34.144)","(0.405,34.144)",Teso District,Teso District,Busia,Busia
"(0.454,34.13) → (0.471,34.158)",3.5728029164616,4646.902615304465,"(0.454,34.13)","(0.471,34.158)",Teso District,Teso District,Busia,Busia
"(0.461,34.124) → (0.461,34.167)",4.8863450114527,13943.788638349273,"(0.461,34.124)","(0.461,34.167)",Teso District,Teso District,Busia,Busia
"(0.461,34.124) → (0.468,34.161)",4.2175673413449,4638.779746619631,"(0.461,34.124)","(0.468,34.161)",Teso District,Teso District,Busia,Busia
"(0.461,34.124) → (0.47,34.167)",4.9714925152217,4638.64069417357,"(0.461,34.124)","(0.47,34.167)",Teso District,Teso District,Busia,Busia
"(0.461,34.124) → (0.474,34.155)",3.7366120524874997,4638.862445872385,"(0.461,34.124)","(0.474,34.155)",Teso District,Teso District,Busia,Busia
"(0.461,34.124) → (0.474,34.16)",4.262610394635,4639.2551236457475,"(0.461,34.124)","(0.474,34.16)",Teso District,Teso District,Busia,Busia
"(0.598,34.269)",0.1016209511059,31454.742725082047,"(0.598,34.269)","(0.598,34.269)",Teso District,Teso District,Busia,Busia
"(0.602,34.274) → (0.603,34.272)",0.19733772654194,31509.26071605571,"(0.602,34.274)","(0.603,34.272)",Teso District,Teso District,Busia,Busia
"(0.603,34.278) → (0.606,34.278)",0.24831644756430998,31453.239092948857,"(0.603,34.278)","(0.606,34.278)",Teso District,Teso District,Busia,Busia
"(0.604,34.277) → (0.603,34.278)",0.11186839875759,31457.405355948795,"(0.604,34.277)","(0.603,34.278)",Teso District,Teso District,Busia,Busia
"(0.605,34.279) → (0.606,34.278)",0.11054778871018,31469.99806634088,"(0.605,34.279)","(0.606,34.278)",Teso District,Teso District,Busia,Busia
"(0.607,34.275) → (0.607,34.274)",0.07923615658123799,31560.778077293344,"(0.607,34.275)","(0.607,34.274)",Teso District,Teso District,Busia,Busia
"(0.607,34.281) → (0.606,34.279)",0.21299978025029997,31526.635181631955,"(0.607,34.281)","(0.606,34.279)",Teso District,Teso District,Busia,Busia
"(0.611,34.281)",0.0,31454.181966113807,"(0.611,34.281)","(0.611,34.281)",Teso District,Teso District,Busia,Busia
"(0.614,34.283) → (0.614,34.282)",0.046758116887083,31517.895939207774,"(0.614,34.283)","(0.614,34.282)",Teso District,Teso District,Busia,Busia
"(0.582,35.51) → (0.582,35.508)",0.22394357627880998,45409.206258326085,"(0.582,35.51)","(0.582,35.508)",Lugari District,Lugari District,Elegeyo-Marakwet,Elegeyo-Marakwet
"(0.586,35.511) → (0.586,35.508)",0.42791424173161,45328.47134481893,"(0.586,35.511)","(0.586,35.508)",Lugari District,Lugari District,Elegeyo-Marakwet,Elegeyo-Marakwet
"(0.587,35.508) → (0.588,35.506)",0.19234473912860997,45352.62334528298,"(0.587,35.508)","(0.588,35.506)",Lugari District,Lugari District,Elegeyo-Marakwet,Elegeyo-Marakwet
"(0.589,35.51) → (0.588,35.508)",0.17127844495442998,45483.44990699197,"(0.589,35.51)","(0.588,35.508)",Lugari District,Lugari District,Elegeyo-Marakwet,Elegeyo-Marakwet
"(0.601,35.509) → (0.6,35.507)",0.21930508774427998,45434.245268225095,"(0.601,35.509)","(0.6,35.507)",Lugari District,Lugari District,Elegeyo-Marakwet,Elegeyo-Marakwet
"(0.681,35.511) → (0.549,35.301)",27.598739569424,2929.6678068464657,"(0.681,35.511)","(0.549,35.301)",Lugari District,Lugari District,Elegeyo-Marakwet,Uasin Gishu
"(0.681,35.511) → (0.541,35.302)",27.951021780854003,2931.2287978997974,"(0.681,35.511)","(0.541,35.302)",Lugari District,Nandi North District,Elegeyo-Marakwet,Uasin Gishu
"(1.034,35.534) → (1.034,35.532)",0.16703275544609,12858.601165751523,"(1.034,35.534)","(1.034,35.532)",Lugari District,Lugari District,Elegeyo-Marakwet,Elegeyo-Marakwet
"(1.036,35.55)",0.0,12884.418003608871,"(1.036,35.55)","(1.036,35.55)",Lugari District,Lugari District,Elegeyo-Marakwet,Elegeyo-Marakwet
"(1.037,35.543) → (1.036,35.541)",0.26875507355917005,12857.986485603933,"(1.037,35.543)","(1.036,35.541)",Lugari District,Lugari District,Elegeyo-Marakwet,Elegeyo-Marakwet
"(1.037,35.551) → (1.037,35.55)",0.13086704954227,12887.990578778394,"(1.037,35.551)","(1.037,35.55)",Lugari District,Lugari District,Elegeyo-Marakwet,Elegeyo-Marakwet
"(1.039,35.535) → (1.039,35.533)",0.17448926226076997,12880.887951194833,"(1.039,35.535)","(1.039,35.533)",Lugari District,Lugari District,Elegeyo-Marakwet,Elegeyo-Marakwet
"(1.039,35.539) → (1.04,35.539)",0.14230318708956,12864.837501893557,"(1.039,35.539)","(1.04,35.539)",Lugari District,Lugari District,Elegeyo-Marakwet,Elegeyo-Marakwet
"(1.042,35.541)",0.0,12859.68964098295,"(1.042,35.541)","(1.042,35.541)",Lugari District,Lugari District,Elegeyo-Marakwet,Elegeyo-Marakwet
"(1.046,35.55) → (1.046,35.549)",0.12970855152101,12858.371929226343,"(1.046,35.55)","(1.046,35.549)",Lugari District,Lugari District,Elegeyo-Marakwet,Elegeyo-Marakwet
"(0.566,35.512) → (0.567,35.51)",0.31805627209187,45421.65081019077,"(0.566,35.512)","(0.567,35.51)",Nandi North District,Nandi North District,Elegeyo-Marakwet,Elegeyo-Marakwet
"(0.57,35.51) → (0.568,35.508)",0.28209848437134,45329.83015556376,"(0.57,35.51)","(0.568,35.508)",Nandi North District,Nandi North District,Elegeyo-Marakwet,Elegeyo-Marakwet
"(0.577,35.51) → (0.576,35.508)",0.31969051430849,45330.63828685822,"(0.577,35.51)","(0.576,35.508)",Nandi North District,Nandi North District,Elegeyo-Marakwet,Elegeyo-Marakwet
"(0.578,35.511) → (0.579,35.509)",0.15739472128545,45334.475506503186,"(0.578,35.511)","(0.579,35.509)",Nandi North District,Nandi North District,Elegeyo-Marakwet,Elegeyo-Marakwet
"(1.051,35.554) → (1.051,35.553)",0.14805093695901,12901.948088518368,"(1.051,35.554)","(1.051,35.553)",West Potok,West Potok,Elegeyo-Marakwet,Elegeyo-Marakwet
"(-0.54,37.463) → (-0.515,37.419)",5.6278019249944995,4353.942393757021,"(-0.54,37.463)","(-0.515,37.419)",Mbeere District,Meru South District,Embu,Embu
"(-0.549,37.463) → (-0.53,37.419)",5.316125739467901,4368.697612251472,"(-0.549,37.463)","(-0.53,37.419)",Mbeere District,Mbeere District,Embu,Kirinyaga
"(-0.549,37.463) → (-0.54,37.391)",8.1425733429401,4363.971493447114,"(-0.549,37.463)","(-0.54,37.391)",Mbeere District,Mbeere District,Embu,Kirinyaga
"(-0.549,37.463) → (-0.551,37.414)",5.5277014198893,4356.131685767754,"(-0.549,37.463)","(-0.551,37.414)",Mbeere District,Mbeere District,Embu,Kirinyaga
"(-0.549,37.463) → (-0.553,37.392)",7.9021599080757,4362.761792361231,"(-0.549,37.463)","(-0.553,37.392)",Mbeere District,Mbeere District,Embu,Kirinyaga
