,length_km,n_baseline,source_tile,target_tile,source_kommune,target_kommune,source_region,target_region
"(0.568,35.84) → (0.568,35.841)",0.070205828381465,56641.543102691976,"(0.568,35.84)","(0.568,35.841)",Baringo South,Baringo South,Baringo,Baringo
"(0.02,35.785) → (0.02,35.784)",0.15387206356376998,50812.99381244135,"(0.02,35.785)","(0.02,35.784)",Eldama Ravine,Eldama Ravine,Baringo,Baringo
"(0.015,35.781) → (0.015,35.78)",0.10187554803424999,50793.90781803153,"(0.015,35.781)","(0.015,35.78)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.021,35.781) → (0.02,35.78)",0.08513069918028,50856.34708214316,"(0.021,35.781)","(0.02,35.78)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.022,35.771) → (0.022,35.77)",0.08144171830524499,50831.28122711801,"(0.022,35.771)","(0.022,35.77)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.022,35.777)",0.07422536375784501,50754.086353011146,"(0.022,35.777)","(0.022,35.777)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.022,35.787)",0.0,50782.298383657144,"(0.022,35.787)","(0.022,35.787)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.024,35.775) → (0.024,35.774)",0.09554614871832302,50857.12754306868,"(0.024,35.775)","(0.024,35.774)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.024,35.786) → (0.025,35.785)",0.12381362344104,50838.44061507542,"(0.024,35.786)","(0.025,35.785)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.027,35.777) → (0.027,35.778)",0.062970392130448,50783.68090063056,"(0.027,35.777)","(0.027,35.778)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.034,35.783) → (0.035,35.781)",0.25651688535225,50785.402116886486,"(0.034,35.783)","(0.035,35.781)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.532,35.829) → (0.532,35.828)",0.05235313442463299,56669.908803275255,"(0.532,35.829)","(0.532,35.828)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.54,35.825) → (0.541,35.825)",0.13920644756357,56620.26783245279,"(0.54,35.825)","(0.541,35.825)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.541,35.816) → (0.54,35.815)",0.21481701444888,56690.73923183244,"(0.541,35.816)","(0.54,35.815)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.541,35.817) → (0.543,35.818)",0.13530801289022001,56610.78647735288,"(0.541,35.817)","(0.543,35.818)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.546,35.839) → (0.545,35.839)",0.10433442880354,56689.869247447816,"(0.546,35.839)","(0.545,35.839)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.549,35.827) → (0.55,35.828)",0.16051758816860998,56575.87861115066,"(0.549,35.827)","(0.55,35.828)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.551,35.817) → (0.551,35.818)",0.063156485496932,56608.8678274676,"(0.551,35.817)","(0.551,35.818)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.558,35.828)",0.042489319692911004,56607.32672766488,"(0.558,35.828)","(0.558,35.828)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.563,35.839)",0.062630840584339,56661.92819140507,"(0.563,35.839)","(0.563,35.839)",Nandi North District,Nandi North District,Baringo,Baringo
"(-0.747,35.278) → (-0.747,35.279)",0.12247604117166999,133508.65040915963,"(-0.747,35.278)","(-0.747,35.279)",Bomet Central,Bomet Central,Bomet,Bomet
"(-0.742,35.272)",0.075691190884145,133458.50289443578,"(-0.742,35.272)","(-0.742,35.272)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.744,35.271) → (-0.743,35.271)",0.11150949919853,133556.69969478066,"(-0.744,35.271)","(-0.743,35.271)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.744,35.278) → (-0.742,35.279)",0.19721903627915,133431.63217028423,"(-0.744,35.278)","(-0.742,35.279)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.745,35.273) → (-0.744,35.272)",0.14930910370646,133624.60962296478,"(-0.745,35.273)","(-0.744,35.272)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.745,35.277)",0.058034347152167993,133575.51063568838,"(-0.745,35.277)","(-0.745,35.277)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.746,35.276)",0.05953257202912,133622.55900014084,"(-0.746,35.276)","(-0.746,35.276)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.748,35.271) → (-0.748,35.272)",0.10234290981342,133436.15458162333,"(-0.748,35.271)","(-0.748,35.272)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.748,35.28) → (-0.747,35.28)",0.09743943447974099,133427.999674707,"(-0.748,35.28)","(-0.747,35.28)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.753,35.276) → (-0.753,35.277)",0.050558234572787006,133353.87394712734,"(-0.753,35.276)","(-0.753,35.277)",Trans Mara District,Trans Mara District,Bomet,Bomet
"(0.624,34.634)",0.11127500154060001,285914.6864552961,"(0.624,34.634)","(0.624,34.634)",Butere/Mumias District,Butere/Mumias District,Bungoma,Bungoma
"(0.625,34.628) → (0.624,34.627)",0.13436099246894,286081.4024068855,"(0.625,34.628)","(0.624,34.627)",Butere/Mumias District,Butere/Mumias District,Bungoma,Bungoma
"(0.625,34.632) → (0.624,34.632)",0.095536648890386,286490.75522940647,"(0.625,34.632)","(0.624,34.632)",Butere/Mumias District,Butere/Mumias District,Bungoma,Bungoma
"(0.626,34.634) → (0.625,34.633)",0.11614834919530999,286073.61422793526,"(0.626,34.634)","(0.625,34.633)",Butere/Mumias District,Butere/Mumias District,Bungoma,Bungoma
"(0.626,34.637) → (0.625,34.637)",0.10073139854827,286389.88213159156,"(0.626,34.637)","(0.625,34.637)",Butere/Mumias District,Butere/Mumias District,Bungoma,Bungoma
"(0.627,34.634) → (0.627,34.635)",0.10264080094117999,286091.09859179385,"(0.627,34.634)","(0.627,34.635)",Butere/Mumias District,Butere/Mumias District,Bungoma,Bungoma
"(0.629,34.636)",0.074417732129688,286495.15182595357,"(0.629,34.636)","(0.629,34.636)",Butere/Mumias District,Butere/Mumias District,Bungoma,Bungoma
"(0.63,34.634)",0.06839754620443701,286349.5509127648,"(0.63,34.634)","(0.63,34.634)",Butere/Mumias District,Butere/Mumias District,Bungoma,Bungoma
"(0.631,34.638) → (0.63,34.637)",0.13548163609536,286139.0140415776,"(0.631,34.638)","(0.63,34.637)",Butere/Mumias District,Butere/Mumias District,Bungoma,Bungoma
"(0.626,34.625) → (0.625,34.625)",0.15486454264938002,286246.5318100863,"(0.626,34.625)","(0.625,34.625)",Kabuchai,Kabuchai,Bungoma,Bungoma
"(0.829,34.589) → (0.829,34.588)",0.17875580302399,12852.698434911636,"(0.829,34.589)","(0.829,34.588)",Mt Elgon,Mt Elgon,Bungoma,Bungoma
"(0.829,34.599) → (0.831,34.599)",0.23546911666075,12859.134979107313,"(0.829,34.599)","(0.831,34.599)",Teso District,Teso District,Bungoma,Bungoma
"(0.83,34.606) → (0.83,34.604)",0.20358293010229997,12857.324075094555,"(0.83,34.606)","(0.83,34.604)",Teso District,Teso District,Bungoma,Bungoma
"(0.831,34.601)",0.0,12845.71935897717,"(0.831,34.601)","(0.831,34.601)",Teso District,Teso District,Bungoma,Bungoma
"(0.832,34.612) → (0.835,34.612)",0.28406884713433,12863.664261953858,"(0.832,34.612)","(0.835,34.612)",Teso District,Teso District,Bungoma,Bungoma
"(0.833,34.604) → (0.833,34.603)",0.16423487826047,12844.93429704269,"(0.833,34.604)","(0.833,34.603)",Teso District,Teso District,Bungoma,Bungoma
"(0.834,34.597) → (0.834,34.596)",0.14231027109723002,12847.870801031504,"(0.834,34.597)","(0.834,34.596)",Teso District,Teso District,Bungoma,Bungoma
"(0.834,34.617)",0.0,12863.86167265855,"(0.834,34.617)","(0.834,34.617)",Teso District,Teso District,Bungoma,Bungoma
"(0.835,34.599)",0.0,12845.283992512435,"(0.835,34.599)","(0.835,34.599)",Teso District,Teso District,Bungoma,Bungoma
"(0.836,34.608) → (0.836,34.607)",0.13572176772295,12837.798312820467,"(0.836,34.608)","(0.836,34.607)",Teso District,Teso District,Bungoma,Bungoma
"(0.401,34.151) → (0.4,34.151)",0.046242569604454005,138390.68314800205,"(0.401,34.151)","(0.4,34.151)",Matayos,Matayos,Busia,Busia
"(0.396,34.141) → (0.396,34.14)",0.13328468017228,138510.88266141646,"(0.396,34.141)","(0.396,34.14)",Teso District,Teso District,Busia,Busia
"(0.396,34.143) → (0.397,34.142)",0.108689656921,138307.08324490153,"(0.396,34.143)","(0.397,34.142)",Teso District,Teso District,Busia,Busia
"(0.399,34.149) → (0.398,34.148)",0.16187126282614003,138338.7018808741,"(0.399,34.149)","(0.398,34.148)",Teso District,Teso District,Busia,Busia
"(0.4,34.147) → (0.4,34.148)",0.092012492900453,138310.84857054087,"(0.4,34.147)","(0.4,34.148)",Teso District,Teso District,Busia,Busia
"(0.401,34.146) → (0.401,34.145)",0.059668923911251,138315.5363536379,"(0.401,34.146)","(0.401,34.145)",Teso District,Teso District,Busia,Busia
"(0.402,34.146) → (0.403,34.146)",0.055089047364999,138230.24694967153,"(0.402,34.146)","(0.403,34.146)",Teso District,Teso District,Busia,Busia
"(0.403,34.146) → (0.402,34.146)",0.0411795705322,138508.7570531311,"(0.403,34.146)","(0.402,34.146)",Teso District,Teso District,Busia,Busia
"(0.403,34.152)",0.037633626110916,138440.48945973904,"(0.403,34.152)","(0.403,34.152)",Teso District,Teso District,Busia,Busia
"(0.409,34.149)",0.0,138459.9882634113,"(0.409,34.149)","(0.409,34.149)",Teso District,Teso District,Busia,Busia
"(0.461,34.167) → (0.461,34.124)",4.8863450114527,8064.709215243309,"(0.461,34.167)","(0.461,34.124)",Teso District,Teso District,Busia,Busia
"(0.461,34.167) → (0.461,34.139)",3.1617526544724,2688.547812386324,"(0.461,34.167)","(0.461,34.139)",Teso District,Teso District,Busia,Busia
"(0.461,34.167) → (0.461,34.155)",1.3326395485801998,2688.474620311261,"(0.461,34.167)","(0.461,34.155)",Teso District,Teso District,Busia,Busia
"(0.481,34.165) → (0.461,34.165)",2.1377689735058,2692.394845525226,"(0.481,34.165)","(0.461,34.165)",Teso District,Teso District,Busia,Busia
"(0.595,34.266) → (0.595,34.265)",0.12387566057095001,35581.8968589826,"(0.595,34.266)","(0.595,34.265)",Teso District,Teso District,Busia,Busia
"(0.597,34.266)",0.080101305174258,35547.608868560004,"(0.597,34.266)","(0.597,34.266)",Teso District,Teso District,Busia,Busia
"(0.602,34.277) → (0.602,34.276)",0.10095525011835002,35555.735472622066,"(0.602,34.277)","(0.602,34.276)",Teso District,Teso District,Busia,Busia
"(0.602,34.278) → (0.603,34.277)",0.17036718204333998,35548.57663044139,"(0.602,34.278)","(0.603,34.277)",Teso District,Teso District,Busia,Busia
"(0.604,34.279)",0.070473101892397,35527.86044710781,"(0.604,34.279)","(0.604,34.279)",Teso District,Teso District,Busia,Busia
"(0.605,34.278) → (0.605,34.279)",0.07674707835616401,35549.78148182054,"(0.605,34.278)","(0.605,34.279)",Teso District,Teso District,Busia,Busia
"(0.607,34.278) → (0.607,34.277)",0.08424533071564899,35586.9084305528,"(0.607,34.278)","(0.607,34.277)",Teso District,Teso District,Busia,Busia
