,length_km,n_baseline,source_tile,target_tile,source_kommune,target_kommune,source_region,target_region
"(0.563,35.835) → (0.564,35.837)",0.24148646568529997,54452.53939409781,"(0.563,35.835)","(0.564,35.837)",Baringo South,Baringo South,Baringo,Baringo
"(0.016,35.777)",0.077530204535851,45671.33187751013,"(0.016,35.777)","(0.016,35.777)",Eldama Ravine,Eldama Ravine,Baringo,Baringo
"(0.022,35.776) → (0.022,35.774)",0.16802598456997,45656.04024400502,"(0.022,35.776)","(0.022,35.774)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.025,35.783) → (0.027,35.782)",0.24780839432527,45741.81940678693,"(0.025,35.783)","(0.027,35.782)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.027,35.776) → (0.027,35.775)",0.06248724339196499,45659.27931760364,"(0.027,35.776)","(0.027,35.775)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.028,35.771) → (0.029,35.769)",0.22132720738842998,45759.29653302887,"(0.028,35.771)","(0.029,35.769)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.028,35.776) → (0.03,35.775)",0.16042948138154997,45759.589579341955,"(0.028,35.776)","(0.03,35.775)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.028,35.778) → (0.029,35.776)",0.24080555311998003,45673.39457565075,"(0.028,35.778)","(0.029,35.776)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.029,35.776) → (0.028,35.775)",0.063460908709858,45672.96969281795,"(0.029,35.776)","(0.028,35.775)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.032,35.769) → (0.033,35.769)",0.077395932439671,45747.992950986576,"(0.032,35.769)","(0.033,35.769)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.032,35.772) → (0.032,35.773)",0.045448464712136,45708.513635129304,"(0.032,35.772)","(0.032,35.773)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.532,35.834) → (0.534,35.837)",0.38636543345507,54536.57953058938,"(0.532,35.834)","(0.534,35.837)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.54,35.822) → (0.543,35.821)",0.25770842994497,54557.416976445726,"(0.54,35.822)","(0.543,35.821)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.545,35.831) → (0.547,35.833)",0.38166562814025,54438.169493634465,"(0.545,35.831)","(0.547,35.833)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.548,35.847) → (0.55,35.845)",0.31718956260574,54496.87007240887,"(0.548,35.847)","(0.55,35.845)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.55,35.822) → (0.552,35.819)",0.35871624125775003,54454.49211145688,"(0.55,35.822)","(0.552,35.819)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.552,35.845) → (0.554,35.845)",0.27297886946059,54557.76636664853,"(0.552,35.845)","(0.554,35.845)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.554,35.832) → (0.553,35.831)",0.22343082249875001,54434.30764473542,"(0.554,35.832)","(0.553,35.831)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.559,35.834) → (0.56,35.831)",0.338830494869,54454.99868633087,"(0.559,35.834)","(0.56,35.831)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.566,35.841)",0.01388161671106,54543.94005950134,"(0.566,35.841)","(0.566,35.841)",Nandi North District,Nandi North District,Baringo,Baringo
"(-0.744,35.279) → (-0.744,35.281)",0.26056977610056,124385.35183290172,"(-0.744,35.279)","(-0.744,35.281)",Bomet Central,Bomet Central,Bomet,Bomet
"(-0.742,35.274) → (-0.742,35.275)",0.074194617768914,124486.61592600131,"(-0.742,35.274)","(-0.742,35.275)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.742,35.277) → (-0.741,35.278)",0.17184344921599998,124389.81240422568,"(-0.742,35.277)","(-0.741,35.278)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.743,35.274)",0.094083491575655,124594.13739277613,"(-0.743,35.274)","(-0.743,35.274)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.744,35.277)",0.041437862751796,124625.72067793032,"(-0.744,35.277)","(-0.744,35.277)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.744,35.278) → (-0.743,35.28)",0.20117121741389002,124390.96956777826,"(-0.744,35.278)","(-0.743,35.28)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.745,35.274) → (-0.744,35.274)",0.08543399073206799,124624.92256963662,"(-0.745,35.274)","(-0.744,35.274)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.745,35.281) → (-0.745,35.282)",0.14571512056557998,124343.70524333576,"(-0.745,35.281)","(-0.745,35.282)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.746,35.281) → (-0.746,35.283)",0.20830615920984,124577.3238155109,"(-0.746,35.281)","(-0.746,35.283)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.747,35.278) → (-0.745,35.278)",0.16897459546991,124352.52682336452,"(-0.747,35.278)","(-0.745,35.278)",Central Kisii,Central Kisii,Bomet,Bomet
"(0.622,34.633) → (0.622,34.632)",0.13704346472288,281105.49367785314,"(0.622,34.633)","(0.622,34.632)",Butere/Mumias District,Butere/Mumias District,Bungoma,Bungoma
"(0.623,34.635) → (0.621,34.635)",0.22031021380801,281192.39554404607,"(0.623,34.635)","(0.621,34.635)",Butere/Mumias District,Butere/Mumias District,Bungoma,Bungoma
"(0.624,34.632) → (0.622,34.632)",0.22915918450089,281189.7797143559,"(0.624,34.632)","(0.622,34.632)",Butere/Mumias District,Butere/Mumias District,Bungoma,Bungoma
"(0.625,34.631) → (0.624,34.632)",0.10468442120574001,281723.06290076533,"(0.625,34.631)","(0.624,34.632)",Butere/Mumias District,Butere/Mumias District,Bungoma,Bungoma
"(0.626,34.635) → (0.625,34.633)",0.16310785705911,281408.60921845713,"(0.626,34.635)","(0.625,34.633)",Butere/Mumias District,Butere/Mumias District,Bungoma,Bungoma
"(0.626,34.637) → (0.625,34.638)",0.11197642466211999,281613.6592219628,"(0.626,34.637)","(0.625,34.638)",Butere/Mumias District,Butere/Mumias District,Bungoma,Bungoma
"(0.628,34.635)",0.06479235817301401,281651.6672066686,"(0.628,34.635)","(0.628,34.635)",Butere/Mumias District,Butere/Mumias District,Bungoma,Bungoma
"(0.629,34.639) → (0.627,34.639)",0.26606047169356,281721.2587345643,"(0.629,34.639)","(0.627,34.639)",Butere/Mumias District,Butere/Mumias District,Bungoma,Bungoma
"(0.63,34.637) → (0.628,34.636)",0.24523342614854998,281085.5520275116,"(0.63,34.637)","(0.628,34.636)",Butere/Mumias District,Butere/Mumias District,Bungoma,Bungoma
"(0.624,34.624) → (0.623,34.625)",0.10043550529446,281179.69635588996,"(0.624,34.624)","(0.623,34.625)",Kabuchai,Kabuchai,Bungoma,Bungoma
"(0.827,34.591)",0.0,11994.948411833682,"(0.827,34.591)","(0.827,34.591)",Mt Elgon,Mt Elgon,Bungoma,Bungoma
"(0.831,34.587) → (0.831,34.588)",0.16469626656245,11990.932274193587,"(0.831,34.587)","(0.831,34.588)",Teso District,Teso District,Bungoma,Bungoma
"(0.831,34.591) → (0.831,34.594)",0.26268761444988004,12015.08239049697,"(0.831,34.591)","(0.831,34.594)",Teso District,Teso District,Bungoma,Bungoma
"(0.832,34.607) → (0.832,34.606)",0.14957106084743,12018.051121162192,"(0.832,34.607)","(0.832,34.606)",Teso District,Teso District,Bungoma,Bungoma
"(0.833,34.612) → (0.833,34.609)",0.32939236820474,12018.128085753833,"(0.833,34.612)","(0.833,34.609)",Teso District,Teso District,Bungoma,Bungoma
"(0.834,34.602) → (0.834,34.601)",0.13572182390317,12004.71369009838,"(0.834,34.602)","(0.834,34.601)",Teso District,Teso District,Bungoma,Bungoma
"(0.834,34.602) → (0.834,34.604)",0.19942799035189002,11991.782972413246,"(0.834,34.602)","(0.834,34.604)",Teso District,Teso District,Bungoma,Bungoma
"(0.836,34.597) → (0.836,34.598)",0.1480600823445,12013.460993853854,"(0.836,34.597)","(0.836,34.598)",Teso District,Teso District,Bungoma,Bungoma
