,length_km,n_baseline,source_tile,target_tile,source_kommune,target_kommune,source_region,target_region
"(0.567,35.843) → (0.563,35.843)",0.35852200154814007,47675.30246451954,"(0.567,35.843)","(0.563,35.843)",Baringo South,Baringo South,Baringo,Baringo
"(0.003,35.79) → (0.002,35.791)",0.15653197481573,54152.70642805342,"(0.003,35.79)","(0.002,35.791)",Eldama Ravine,Eldama Ravine,Baringo,Baringo
"(0.014,35.782) → (0.013,35.783)",0.16216269983472,54121.72392341584,"(0.014,35.782)","(0.013,35.783)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.015,35.784) → (0.015,35.786)",0.14704342595957998,54238.32641909125,"(0.015,35.784)","(0.015,35.786)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.016,35.778) → (0.015,35.778)",0.090802358068562,54318.61140020328,"(0.016,35.778)","(0.015,35.778)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.017,35.787) → (0.017,35.788)",0.13206764867801998,54132.438829290615,"(0.017,35.787)","(0.017,35.788)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.019,35.786) → (0.018,35.786)",0.062169244524204005,54232.70533649556,"(0.019,35.786)","(0.018,35.786)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.02,35.792) → (0.02,35.793)",0.14307328410348003,54214.027363028275,"(0.02,35.792)","(0.02,35.793)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.022,35.775) → (0.021,35.776)",0.11832399440921999,54122.39118407755,"(0.022,35.775)","(0.021,35.776)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.022,35.778) → (0.022,35.779)",0.08081898803053199,54150.42501748312,"(0.022,35.778)","(0.022,35.779)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.023,35.778) → (0.022,35.779)",0.074649657439735,54136.55315422131,"(0.023,35.778)","(0.022,35.779)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.537,35.828) → (0.536,35.828)",0.18097515119626,47648.0258909716,"(0.537,35.828)","(0.536,35.828)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.539,35.84) → (0.537,35.838)",0.31182138072583,47821.36293405712,"(0.539,35.84)","(0.537,35.838)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.541,35.831) → (0.539,35.831)",0.21754204818454,47750.68113419252,"(0.541,35.831)","(0.539,35.831)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.547,35.825) → (0.544,35.825)",0.31568980026090004,47657.45914762955,"(0.547,35.825)","(0.544,35.825)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.548,35.83) → (0.546,35.83)",0.21399981382331,47745.73240991623,"(0.548,35.83)","(0.546,35.83)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.55,35.83) → (0.546,35.83)",0.41435754572318,47729.28857740602,"(0.55,35.83)","(0.546,35.83)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.554,35.834) → (0.552,35.834)",0.23082147078912002,47648.61333813662,"(0.554,35.834)","(0.552,35.834)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.562,35.822) → (0.56,35.822)",0.20337684983901003,47673.29394184064,"(0.562,35.822)","(0.56,35.822)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.565,35.835) → (0.563,35.834)",0.20384398512801996,47661.081343055164,"(0.565,35.835)","(0.563,35.834)",Nandi North District,Nandi North District,Baringo,Baringo
"(-0.746,35.281) → (-0.747,35.279)",0.20066400070989002,123955.78640775081,"(-0.746,35.281)","(-0.747,35.279)",Bomet Central,Bomet Central,Bomet,Bomet
"(-0.739,35.279) → (-0.74,35.278)",0.19615722610310998,123918.81149194343,"(-0.739,35.279)","(-0.74,35.278)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.741,35.275) → (-0.742,35.274)",0.11202118441257,124151.77094890056,"(-0.741,35.275)","(-0.742,35.274)",Central Kisii,Central Kisii,Bomet,Bomet
