,length_km,n_baseline,source_tile,target_tile,source_kommune,target_kommune,source_region,target_region
"(0.564,35.845) → (0.563,35.843)",0.29530885245254995,50667.18016002499,"(0.564,35.845)","(0.563,35.843)",Baringo South,Baringo South,Baringo,Baringo
"(0.008,35.794) → (0.007,35.794)",0.078752798787904,56697.06022699281,"(0.008,35.794)","(0.007,35.794)",Eldama Ravine,Eldama Ravine,Baringo,Baringo
"(0.013,35.787)",0.058387219589870004,56828.40706958311,"(0.013,35.787)","(0.013,35.787)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.017,35.789) → (0.017,35.791)",0.19315019465758998,56853.765216700354,"(0.017,35.789)","(0.017,35.791)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.017,35.792) → (0.017,35.793)",0.17054653034769,56786.632982300674,"(0.017,35.792)","(0.017,35.793)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.018,35.776)",0.043923624472603,56824.429743123175,"(0.018,35.776)","(0.018,35.776)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.018,35.789)",0.060366446384364,56703.226499821176,"(0.018,35.789)","(0.018,35.789)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.019,35.769) → (0.019,35.771)",0.23373049262504,56715.34358420816,"(0.019,35.769)","(0.019,35.771)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.02,35.782) → (0.02,35.784)",0.1734249560477,56677.00655702793,"(0.02,35.782)","(0.02,35.784)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.021,35.787) → (0.02,35.787)",0.033374676469998,56708.69916470494,"(0.021,35.787)","(0.02,35.787)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.024,35.781) → (0.023,35.782)",0.08634570582219901,56688.45089617133,"(0.024,35.781)","(0.023,35.782)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.532,35.82) → (0.53,35.82)",0.21072759983515,50683.51903456719,"(0.532,35.82)","(0.53,35.82)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.533,35.83) → (0.532,35.829)",0.17420891272498001,50672.69063367318,"(0.533,35.83)","(0.532,35.829)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.545,35.826) → (0.543,35.826)",0.23199188521302,50649.25925010634,"(0.545,35.826)","(0.543,35.826)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.545,35.827) → (0.542,35.826)",0.26772028727180996,50784.55792371025,"(0.545,35.827)","(0.542,35.826)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.549,35.825) → (0.546,35.825)",0.27146272679441,50747.22661944358,"(0.549,35.825)","(0.546,35.825)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.549,35.834) → (0.546,35.833)",0.27812247885412,50781.003596281385,"(0.549,35.834)","(0.546,35.833)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.551,35.842) → (0.55,35.841)",0.10958305349662001,50807.21916581645,"(0.551,35.842)","(0.55,35.841)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.554,35.827) → (0.554,35.826)",0.0582326518676,50659.48645396611,"(0.554,35.827)","(0.554,35.826)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.558,35.838) → (0.556,35.837)",0.1573022089017,50677.58126638872,"(0.558,35.838)","(0.556,35.837)",Nandi North District,Nandi North District,Baringo,Baringo
"(-0.747,35.28) → (-0.749,35.28)",0.21662591918744,129055.62103060677,"(-0.747,35.28)","(-0.749,35.28)",Bomet Central,Bomet Central,Bomet,Bomet
"(-0.741,35.268) → (-0.741,35.267)",0.11638978238475998,129345.5435052247,"(-0.741,35.268)","(-0.741,35.267)",Central Kisii,Central Kisii,Bomet,Bomet
