,length_km,n_baseline,source_tile,target_tile,source_kommune,target_kommune,source_region,target_region
"(0.565,35.837)",0.060089288927042996,49971.49035745751,"(0.565,35.837)","(0.565,35.837)",Baringo South,Baringo South,Baringo,Baringo
"(0.008,35.791) → (0.008,35.792)",0.07563458230034,51011.72954824525,"(0.008,35.791)","(0.008,35.792)",Eldama Ravine,Eldama Ravine,Baringo,Baringo
"(0.018,35.782)",0.045385478997048,51139.081055074166,"(0.018,35.782)","(0.018,35.782)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.018,35.785)",0.078233073832832,51067.740756530555,"(0.018,35.785)","(0.018,35.785)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.02,35.784) → (0.02,35.785)",0.061012767558849004,50993.736802513005,"(0.02,35.784)","(0.02,35.785)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.02,35.79)",0.0,50981.56222626621,"(0.02,35.79)","(0.02,35.79)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.021,35.785) → (0.022,35.784)",0.076593984474908,51064.15633749551,"(0.021,35.785)","(0.022,35.784)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.022,35.781) → (0.022,35.78)",0.07954772477738299,50959.321833328104,"(0.022,35.781)","(0.022,35.78)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.023,35.776) → (0.023,35.777)",0.047098824783993,50983.14220515098,"(0.023,35.776)","(0.023,35.777)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.026,35.784)",0.0,51004.34998160466,"(0.026,35.784)","(0.026,35.784)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.029,35.778) → (0.029,35.779)",0.03951349997407799,51027.98212233243,"(0.029,35.778)","(0.029,35.779)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.535,35.828) → (0.535,35.827)",0.088520202535706,50022.84805139756,"(0.535,35.828)","(0.535,35.827)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.537,35.84) → (0.538,35.839)",0.14883881028771,49941.93821224039,"(0.537,35.84)","(0.538,35.839)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.54,35.82) → (0.541,35.819)",0.12718408144752,49943.4859719479,"(0.54,35.82)","(0.541,35.819)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.543,35.823) → (0.545,35.824)",0.22325724886509002,49987.41150650448,"(0.543,35.823)","(0.545,35.824)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.546,35.82) → (0.544,35.82)",0.17301887931982998,49953.86452261863,"(0.546,35.82)","(0.544,35.82)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.548,35.839) → (0.548,35.838)",0.058308642046911,50096.244892382456,"(0.548,35.839)","(0.548,35.838)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.554,35.842) → (0.553,35.843)",0.15588068472722,50026.359376397384,"(0.554,35.842)","(0.553,35.843)",Nandi North District,Nandi North District,Baringo,Baringo
