,length_km,n_baseline,source_tile,target_tile,source_kommune,target_kommune,source_region,target_region
"(0.021,35.776) → (0.021,35.775)",0.13600455087793,48924.2244844517,"(0.021,35.776)","(0.021,35.775)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.021,35.778) → (0.022,35.777)",0.16779557931878,49031.86115947245,"(0.021,35.778)","(0.022,35.777)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.023,35.775) → (0.023,35.772)",0.36006847739254,48908.5817291788,"(0.023,35.775)","(0.023,35.772)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.027,35.767) → (0.027,35.766)",0.11902188315128999,49013.03932876349,"(0.027,35.767)","(0.027,35.766)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.028,35.772) → (0.029,35.771)",0.18545260693718998,49003.719470888725,"(0.028,35.772)","(0.029,35.771)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.029,35.779) → (0.029,35.778)",0.1103976278318,48981.822418478216,"(0.029,35.779)","(0.029,35.778)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.03,35.775) → (0.03,35.773)",0.15058027847326,48939.646273315615,"(0.03,35.775)","(0.03,35.773)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.031,35.776) → (0.031,35.775)",0.12798672962902,48917.3506202987,"(0.031,35.776)","(0.031,35.775)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.034,35.776) → (0.034,35.775)",0.14491447667997,48902.24889998527,"(0.034,35.776)","(0.034,35.775)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.543,35.82) → (0.544,35.82)",0.09914290891622199,56471.397711823505,"(0.543,35.82)","(0.544,35.82)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.543,35.821) → (0.545,35.821)",0.22645084047834999,56404.99275424553,"(0.543,35.821)","(0.545,35.821)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.547,35.824) → (0.547,35.825)",0.014371414639543998,56386.95814036821,"(0.547,35.824)","(0.547,35.825)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.548,35.841) → (0.55,35.84)",0.21659825985691,56529.087636456,"(0.548,35.841)","(0.55,35.84)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.551,35.829) → (0.552,35.829)",0.12122084761125998,56379.65698866804,"(0.551,35.829)","(0.552,35.829)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.551,35.842) → (0.552,35.842)",0.06378716311948099,56507.38784998114,"(0.551,35.842)","(0.552,35.842)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.557,35.833) → (0.559,35.833)",0.23465422146632,56422.772614801186,"(0.557,35.833)","(0.559,35.833)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.559,35.834) → (0.56,35.835)",0.1511621852334,56496.64293738547,"(0.559,35.834)","(0.56,35.835)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.561,35.834) → (0.562,35.834)",0.11133000190827001,56397.06784052785,"(0.561,35.834)","(0.562,35.834)",Nandi North District,Nandi North District,Baringo,Baringo
"(-0.74,35.274) → (-0.74,35.276)",0.19089524401181002,129689.70115967157,"(-0.74,35.274)","(-0.74,35.276)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.743,35.28) → (-0.742,35.281)",0.1130488709165,129607.10045134029,"(-0.743,35.28)","(-0.742,35.281)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.744,35.275)",0.0327684031471,129665.04058772621,"(-0.744,35.275)","(-0.744,35.275)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.744,35.28) → (-0.745,35.281)",0.18602066200837,129739.50418420041,"(-0.744,35.28)","(-0.745,35.281)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.744,35.282) → (-0.743,35.284)",0.21133937049551002,129436.50649606557,"(-0.744,35.282)","(-0.743,35.284)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.748,35.278) → (-0.747,35.279)",0.18511784689514998,129495.50133940775,"(-0.748,35.278)","(-0.747,35.279)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.749,35.267) → (-0.749,35.268)",0.18570573340225,129454.69490878235,"(-0.749,35.267)","(-0.749,35.268)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.75,35.274) → (-0.749,35.275)",0.13566865641279,129396.54697465523,"(-0.75,35.274)","(-0.749,35.275)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.75,35.274) → (-0.75,35.276)",0.20401995773879,129413.30379563288,"(-0.75,35.274)","(-0.75,35.276)",Central Kisii,Central Kisii,Bomet,Bomet
"(0.624,34.631) → (0.623,34.63)",0.18085327151091002,289338.3833489185,"(0.624,34.631)","(0.623,34.63)",Butere/Mumias District,Butere/Mumias District,Bungoma,Bungoma
"(0.624,34.632) → (0.622,34.632)",0.19207264341738,289300.91895113606,"(0.624,34.632)","(0.622,34.632)",Butere/Mumias District,Butere/Mumias District,Bungoma,Bungoma
"(0.624,34.637) → (0.623,34.637)",0.13168498761221,289522.1581520766,"(0.624,34.637)","(0.623,34.637)",Butere/Mumias District,Butere/Mumias District,Bungoma,Bungoma
"(0.625,34.63) → (0.623,34.629)",0.2015917185001,289390.2592506661,"(0.625,34.63)","(0.623,34.629)",Butere/Mumias District,Butere/Mumias District,Bungoma,Bungoma
"(0.625,34.633) → (0.625,34.634)",0.082836853200284,290067.69239449373,"(0.625,34.633)","(0.625,34.634)",Butere/Mumias District,Butere/Mumias District,Bungoma,Bungoma
"(0.626,34.638)",0.10410977926805001,289771.66809952934,"(0.626,34.638)","(0.626,34.638)",Butere/Mumias District,Butere/Mumias District,Bungoma,Bungoma
"(0.627,34.636) → (0.626,34.636)",0.11764569203735001,289901.2089187591,"(0.627,34.636)","(0.626,34.636)",Butere/Mumias District,Butere/Mumias District,Bungoma,Bungoma
"(0.627,34.638)",0.085491903806429,289430.9243583235,"(0.627,34.638)","(0.627,34.638)",Butere/Mumias District,Butere/Mumias District,Bungoma,Bungoma
"(0.629,34.643) → (0.628,34.643)",0.10058739156192,289956.3442859111,"(0.629,34.643)","(0.628,34.643)",Butere/Mumias District,Butere/Mumias District,Bungoma,Bungoma
"(0.826,34.594) → (0.826,34.596)",0.1832248570871,13353.171361581999,"(0.826,34.594)","(0.826,34.596)",Teso District,Teso District,Bungoma,Bungoma
"(0.832,34.59) → (0.834,34.59)",0.15111117916736,13357.38051955174,"(0.832,34.59)","(0.834,34.59)",Teso District,Teso District,Bungoma,Bungoma
"(0.832,34.594) → (0.834,34.594)",0.12971639391268,13347.173438298732,"(0.832,34.594)","(0.834,34.594)",Teso District,Teso District,Bungoma,Bungoma
"(0.832,34.607) → (0.832,34.605)",0.28462069621961,13351.295238109047,"(0.832,34.607)","(0.832,34.605)",Teso District,Teso District,Bungoma,Bungoma
"(0.832,34.62) → (0.832,34.619)",0.16107652565793001,13368.891898621348,"(0.832,34.62)","(0.832,34.619)",Teso District,Teso District,Bungoma,Bungoma
"(0.833,34.614)",0.063454378297217,13374.868387696693,"(0.833,34.614)","(0.833,34.614)",Teso District,Teso District,Bungoma,Bungoma
"(0.834,34.61) → (0.834,34.609)",0.15429427931421,13382.549261415646,"(0.834,34.61)","(0.834,34.609)",Teso District,Teso District,Bungoma,Bungoma
"(0.835,34.606)",0.0,13348.90189397311,"(0.835,34.606)","(0.835,34.606)",Teso District,Teso District,Bungoma,Bungoma
"(0.838,34.622) → (0.839,34.624)",0.20938735340369002,13377.41211037352,"(0.838,34.622)","(0.839,34.624)",Teso District,Teso District,Bungoma,Bungoma
"(0.396,34.147) → (0.397,34.146)",0.14470656618605998,142313.5031049346,"(0.396,34.147)","(0.397,34.146)",Teso District,Teso District,Busia,Busia
"(0.397,34.145) → (0.396,34.145)",0.04849048732426,142359.02017417672,"(0.397,34.145)","(0.396,34.145)",Teso District,Teso District,Busia,Busia
"(0.399,34.146) → (0.399,34.147)",0.099158028070111,142403.89427847037,"(0.399,34.146)","(0.399,34.147)",Teso District,Teso District,Busia,Busia
"(0.4,34.144) → (0.399,34.144)",0.12475973877997,142590.3335674331,"(0.4,34.144)","(0.399,34.144)",Teso District,Teso District,Busia,Busia
"(0.402,34.145) → (0.403,34.145)",0.06874809012821201,142295.07592763298,"(0.402,34.145)","(0.403,34.145)",Teso District,Teso District,Busia,Busia
"(0.402,34.148) → (0.4,34.148)",0.17042870645858998,142617.45235877202,"(0.402,34.148)","(0.4,34.148)",Teso District,Teso District,Busia,Busia
"(0.403,34.145)",0.0077814653526171,142526.61783236093,"(0.403,34.145)","(0.403,34.145)",Teso District,Teso District,Busia,Busia
"(0.406,34.148) → (0.405,34.146)",0.22710969054830998,142339.01870096088,"(0.406,34.148)","(0.405,34.146)",Teso District,Teso District,Busia,Busia
"(0.407,34.148) → (0.408,34.147)",0.068573570233544,142672.21985699705,"(0.407,34.148)","(0.408,34.147)",Teso District,Teso District,Busia,Busia
"(0.461,34.167) → (0.461,34.124)",4.8863450114527,3893.159851435552,"(0.461,34.167)","(0.461,34.124)",Teso District,Teso District,Busia,Busia
"(0.472,34.156) → (0.461,34.124)",3.8629909524627,1944.726477259581,"(0.472,34.156)","(0.461,34.124)",Teso District,Teso District,Busia,Busia
"(0.474,34.167) → (0.461,34.124)",5.0818700863717,1944.3778669092485,"(0.474,34.167)","(0.461,34.124)",Teso District,Teso District,Busia,Busia
