,length_km,n_baseline,source_tile,target_tile,source_kommune,target_kommune,source_region,target_region
"(0.55,35.833) → (0.551,35.833)",0.1309484168465,51392.69080727715,"(0.55,35.833)","(0.551,35.833)",Baringo South,Baringo South,Baringo,Baringo
"(0.011,35.781)",0.025628504650236,49023.80896537921,"(0.011,35.781)","(0.011,35.781)",Eldama Ravine,Eldama Ravine,Baringo,Baringo
"(0.019,35.786) → (0.02,35.784)",0.25714763569102,49058.75980024726,"(0.019,35.786)","(0.02,35.784)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.02,35.779) → (0.02,35.778)",0.14617507297176002,48995.62530612827,"(0.02,35.779)","(0.02,35.778)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.021,35.782)",0.0,49018.351236391354,"(0.021,35.782)","(0.021,35.782)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.023,35.782) → (0.022,35.782)",0.045810952062296004,49110.21372851411,"(0.023,35.782)","(0.022,35.782)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.024,35.768)",0.043288780265793,48988.71396489601,"(0.024,35.768)","(0.024,35.768)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.024,35.775) → (0.024,35.774)",0.13705532852514002,49015.63081069211,"(0.024,35.775)","(0.024,35.774)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.024,35.781) → (0.024,35.78)",0.082027628746405,48986.35041011527,"(0.024,35.781)","(0.024,35.78)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.026,35.782) → (0.026,35.781)",0.06675550478675599,49015.782185165706,"(0.026,35.782)","(0.026,35.781)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.03,35.79) → (0.028,35.789)",0.27322254726839,49036.86758615755,"(0.03,35.79)","(0.028,35.789)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.53,35.821) → (0.531,35.82)",0.13290404486069,51483.270739146654,"(0.53,35.821)","(0.531,35.82)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.531,35.825) → (0.534,35.825)",0.24607412644673002,51406.380434301114,"(0.531,35.825)","(0.534,35.825)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.535,35.826) → (0.536,35.827)",0.10175674952792998,51384.27616462908,"(0.535,35.826)","(0.536,35.827)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.537,35.828) → (0.537,35.827)",0.093368572631126,51353.42221535426,"(0.537,35.828)","(0.537,35.827)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.541,35.831)",0.067747863857607,51386.969355103145,"(0.541,35.831)","(0.541,35.831)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.551,35.829) → (0.552,35.829)",0.19313553684976,51429.33050312571,"(0.551,35.829)","(0.552,35.829)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.552,35.845)",0.052433865804322,51363.14528406567,"(0.552,35.845)","(0.552,35.845)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.555,35.839)",0.01388161671106,51355.899979579764,"(0.555,35.839)","(0.555,35.839)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.557,35.837) → (0.558,35.836)",0.07271292520905999,51384.117475582236,"(0.557,35.837)","(0.558,35.836)",Nandi North District,Nandi North District,Baringo,Baringo
"(-0.742,35.272) → (-0.742,35.273)",0.057174297946262,132109.09272990417,"(-0.742,35.272)","(-0.742,35.273)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.744,35.272) → (-0.744,35.271)",0.020486755930699,131939.0794484437,"(-0.744,35.272)","(-0.744,35.271)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.746,35.268)",0.063742788755502,132050.139740611,"(-0.746,35.268)","(-0.746,35.268)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.747,35.275) → (-0.745,35.276)",0.16143437262923999,132000.27753092122,"(-0.747,35.275)","(-0.745,35.276)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.748,35.274) → (-0.747,35.275)",0.131711749488,264008.3339090841,"(-0.748,35.274)","(-0.747,35.275)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.748,35.276) → (-0.747,35.276)",0.055572403205571996,131920.4680725455,"(-0.748,35.276)","(-0.747,35.276)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.748,35.277) → (-0.747,35.278)",0.15451509480951997,132247.65171118296,"(-0.748,35.277)","(-0.747,35.278)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.749,35.279)",0.051056464464742,131992.95176540187,"(-0.749,35.279)","(-0.749,35.279)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.75,35.27) → (-0.75,35.271)",0.12601351335871,131914.10331569126,"(-0.75,35.27)","(-0.75,35.271)",Central Kisii,Central Kisii,Bomet,Bomet
"(0.624,34.625) → (0.623,34.626)",0.12535239189874,288313.0716481497,"(0.624,34.625)","(0.623,34.626)",Butere/Mumias District,Butere/Mumias District,Bungoma,Bungoma
"(0.625,34.63)",0.0742579055029,288154.74504167336,"(0.625,34.63)","(0.625,34.63)",Butere/Mumias District,Butere/Mumias District,Bungoma,Bungoma
"(0.626,34.632) → (0.626,34.631)",0.09464025796875698,288140.8424614643,"(0.626,34.632)","(0.626,34.631)",Butere/Mumias District,Butere/Mumias District,Bungoma,Bungoma
"(0.627,34.632)",0.05746417763120901,288437.9877180864,"(0.627,34.632)","(0.627,34.632)",Butere/Mumias District,Butere/Mumias District,Bungoma,Bungoma
"(0.628,34.633)",0.07441742638082902,288329.0733658991,"(0.628,34.633)","(0.628,34.633)",Butere/Mumias District,Butere/Mumias District,Bungoma,Bungoma
"(0.628,34.636) → (0.627,34.635)",0.09436529153934801,288313.9620424735,"(0.628,34.636)","(0.627,34.635)",Butere/Mumias District,Butere/Mumias District,Bungoma,Bungoma
"(0.628,34.636) → (0.627,34.636)",0.093970845018785,288566.75911988196,"(0.628,34.636)","(0.627,34.636)",Butere/Mumias District,Butere/Mumias District,Bungoma,Bungoma
"(0.629,34.633) → (0.628,34.633)",0.027822571601036,288195.39799231227,"(0.629,34.633)","(0.628,34.633)",Butere/Mumias District,Butere/Mumias District,Bungoma,Bungoma
"(0.626,34.626) → (0.625,34.625)",0.092589861574335,288361.1760764566,"(0.626,34.626)","(0.625,34.625)",Kabuchai,Kabuchai,Bungoma,Bungoma
"(0.832,34.627)",0.0,13970.10008225853,"(0.832,34.627)","(0.832,34.627)",Lugari District,Lugari District,Bungoma,Bungoma
"(0.834,34.625)",0.0,13997.014232205496,"(0.834,34.625)","(0.834,34.625)",Lugari District,Lugari District,Bungoma,Bungoma
"(0.834,34.632) → (0.834,34.63)",0.19942801306267,13976.109680575615,"(0.834,34.632)","(0.834,34.63)",Lugari District,Lugari District,Bungoma,Bungoma
"(0.828,34.582) → (0.828,34.583)",0.15268728584856,13972.387813228474,"(0.828,34.582)","(0.828,34.583)",Mt Elgon,Mt Elgon,Bungoma,Bungoma
"(0.629,34.631) → (0.628,34.631)",0.09217223131891901,288869.4144129307,"(0.629,34.631)","(0.628,34.631)",Teso District,Butere/Mumias District,Bungoma,Bungoma
"(0.831,34.606)",0.0,13982.349230537302,"(0.831,34.606)","(0.831,34.606)",Teso District,Teso District,Bungoma,Bungoma
"(0.833,34.619) → (0.834,34.619)",0.12214820316029999,13970.832293418667,"(0.833,34.619)","(0.834,34.619)",Teso District,Teso District,Bungoma,Bungoma
"(0.834,34.612) → (0.832,34.61)",0.22008942068634,13961.711664799437,"(0.834,34.612)","(0.832,34.61)",Teso District,Teso District,Bungoma,Bungoma
"(0.837,34.599) → (0.837,34.6)",0.15761234169776,13970.056938673919,"(0.837,34.599)","(0.837,34.6)",Teso District,Teso District,Bungoma,Bungoma
"(0.837,34.607) → (0.837,34.606)",0.15429415210973998,13962.385306948247,"(0.837,34.607)","(0.837,34.606)",Teso District,Teso District,Bungoma,Bungoma
"(0.838,34.613) → (0.838,34.611)",0.19543923280895,13964.355124105354,"(0.838,34.613)","(0.838,34.611)",Teso District,Teso District,Bungoma,Bungoma
"(0.394,34.147)",0.02723752996747,137073.9425125345,"(0.394,34.147)","(0.394,34.147)",Matayos,Matayos,Busia,Busia
"(0.393,34.145) → (0.394,34.145)",0.096257775068156,137058.68232681416,"(0.393,34.145)","(0.394,34.145)",Teso District,Teso District,Busia,Busia
"(0.396,34.144)",0.0064719990251659995,137051.49908284663,"(0.396,34.144)","(0.396,34.144)",Teso District,Teso District,Busia,Busia
"(0.396,34.145) → (0.397,34.145)",0.052488574218555,136975.8144767854,"(0.396,34.145)","(0.397,34.145)",Teso District,Teso District,Busia,Busia
"(0.397,34.146)",0.031512840501508,274222.74328071007,"(0.397,34.146)","(0.397,34.146)",Teso District,Teso District,Busia,Busia
"(0.4,34.15) → (0.401,34.149)",0.06793369415406901,136969.2058150152,"(0.4,34.15)","(0.401,34.149)",Teso District,Teso District,Busia,Busia
"(0.4,34.15) → (0.401,34.15)",0.051213380353005995,136995.1390623439,"(0.4,34.15)","(0.401,34.15)",Teso District,Teso District,Busia,Busia
"(0.401,34.145)",0.018817814880598,137315.5361745677,"(0.401,34.145)","(0.401,34.145)",Teso District,Teso District,Busia,Busia
"(0.407,34.153) → (0.407,34.152)",0.073231353854767,137110.45531461248,"(0.407,34.153)","(0.407,34.152)",Teso District,Teso District,Busia,Busia
"(0.595,34.27) → (0.595,34.268)",0.23983903288352,37576.721340919175,"(0.595,34.27)","(0.595,34.268)",Teso District,Teso District,Busia,Busia
"(0.599,34.267) → (0.599,34.266)",0.07256786903943901,37607.69793041067,"(0.599,34.267)","(0.599,34.266)",Teso District,Teso District,Busia,Busia
"(0.599,34.271)",0.06818004102509599,37647.14172800099,"(0.599,34.271)","(0.599,34.271)",Teso District,Teso District,Busia,Busia
"(0.601,34.273) → (0.601,34.274)",0.08424542759608,37554.0018600677,"(0.601,34.273)","(0.601,34.274)",Teso District,Teso District,Busia,Busia
"(0.601,34.275)",0.017388736168501,37574.63590401951,"(0.601,34.275)","(0.601,34.275)",Teso District,Teso District,Busia,Busia
"(0.603,34.274) → (0.603,34.273)",0.077151045564381,37590.91569258269,"(0.603,34.274)","(0.603,34.273)",Teso District,Teso District,Busia,Busia
"(0.603,34.276) → (0.605,34.275)",0.1698017085646,37552.1899949778,"(0.603,34.276)","(0.605,34.275)",Teso District,Teso District,Busia,Busia
"(0.604,34.274)",0.043627070707910005,37559.29998897302,"(0.604,34.274)","(0.604,34.274)",Teso District,Teso District,Busia,Busia
"(0.608,34.278) → (0.608,34.277)",0.07923614266049299,37574.75194538501,"(0.608,34.278)","(0.608,34.277)",Teso District,Teso District,Busia,Busia
"(0.601,34.272)",0.0211525300039,37580.90515282141,"(0.601,34.272)","(0.601,34.272)",Teso North,Teso North,Busia,Busia
"(0.584,35.507) → (0.584,35.508)",0.1550520199844,42209.45768472693,"(0.584,35.507)","(0.584,35.508)",Lugari District,Lugari District,Elegeyo-Marakwet,Elegeyo-Marakwet
