,length_km,n_baseline,source_tile,target_tile,source_kommune,target_kommune,source_region,target_region
"(0.017,35.784) → (0.018,35.783)",0.13755916482592,53804.65424580784,"(0.017,35.784)","(0.018,35.783)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.018,35.778) → (0.018,35.777)",0.053708999634461005,53743.91651634136,"(0.018,35.778)","(0.018,35.777)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.018,35.784) → (0.019,35.782)",0.13148605640196,53842.0138263331,"(0.018,35.784)","(0.019,35.782)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.019,35.781) → (0.02,35.78)",0.08933388879406501,53764.03845252668,"(0.019,35.781)","(0.02,35.78)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.025,35.781) → (0.025,35.78)",0.012465568888648,53704.067192123446,"(0.025,35.781)","(0.025,35.78)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.025,35.782) → (0.025,35.781)",0.071897876761873,53802.42959068524,"(0.025,35.782)","(0.025,35.781)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.028,35.778) → (0.028,35.777)",0.026922880938577004,53744.87332714487,"(0.028,35.778)","(0.028,35.777)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.028,35.78) → (0.028,35.778)",0.18104763466278,53739.834902041555,"(0.028,35.78)","(0.028,35.778)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.03,35.773) → (0.031,35.772)",0.16773816808239,53748.20725683345,"(0.03,35.773)","(0.031,35.772)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.538,35.831) → (0.541,35.831)",0.2864399806865,59217.05109901299,"(0.538,35.831)","(0.541,35.831)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.541,35.825) → (0.542,35.825)",0.14251793156707,59152.649328688814,"(0.541,35.825)","(0.542,35.825)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.545,35.825) → (0.547,35.825)",0.18370978144156003,59174.79631595988,"(0.545,35.825)","(0.547,35.825)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.546,35.825) → (0.547,35.824)",0.22280750110945002,59148.15694489878,"(0.546,35.825)","(0.547,35.824)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.549,35.833) → (0.549,35.832)",0.09973854013727901,59260.619051666945,"(0.549,35.833)","(0.549,35.832)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.55,35.84) → (0.551,35.84)",0.12392863614526,59219.49964115272,"(0.55,35.84)","(0.551,35.84)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.551,35.828) → (0.552,35.828)",0.16286230627301,59108.789609222134,"(0.551,35.828)","(0.552,35.828)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.556,35.824) → (0.558,35.823)",0.25425742763785997,59157.371884917324,"(0.556,35.824)","(0.558,35.823)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.56,35.815) → (0.561,35.815)",0.052278225367248,59153.70243195338,"(0.56,35.815)","(0.561,35.815)",Nandi North District,Nandi North District,Baringo,Baringo
