,length_km,n_baseline,source_tile,target_tile,source_kommune,target_kommune,source_region,target_region
"(0.55,35.834) → (0.551,35.83)",0.47781657903090996,54132.28383961457,"(0.55,35.834)","(0.551,35.83)",Baringo South,Baringo South,Baringo,Baringo
"(0.014,35.776) → (0.014,35.775)",0.11874795042861,48429.980348097015,"(0.014,35.776)","(0.014,35.775)",Eldama Ravine,Eldama Ravine,Baringo,Baringo
"(0.016,35.786) → (0.016,35.785)",0.15831076697353,48493.840413766935,"(0.016,35.786)","(0.016,35.785)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.019,35.777) → (0.019,35.776)",0.12309107321007,48446.97307331538,"(0.019,35.777)","(0.019,35.776)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.019,35.785) → (0.019,35.786)",0.081970259193621,48385.99504836698,"(0.019,35.785)","(0.019,35.786)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.02,35.784) → (0.02,35.783)",0.090774757820615,48390.23823647224,"(0.02,35.784)","(0.02,35.783)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.021,35.775) → (0.021,35.774)",0.13764797561295,48453.940556687216,"(0.021,35.775)","(0.021,35.774)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.022,35.779)",0.047746703589997996,48411.6632662285,"(0.022,35.779)","(0.022,35.779)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.022,35.782) → (0.022,35.781)",0.13351101362026,48487.4905855407,"(0.022,35.782)","(0.022,35.781)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.025,35.776)",0.012594079884052,48419.666074333596,"(0.025,35.776)","(0.025,35.776)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.03,35.774) → (0.03,35.773)",0.052742321848823,48410.218414607014,"(0.03,35.774)","(0.03,35.773)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.535,35.843) → (0.536,35.843)",0.10747029333811,54196.56551957002,"(0.535,35.843)","(0.536,35.843)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.537,35.822) → (0.539,35.822)",0.18793573393457,54159.06520113771,"(0.537,35.822)","(0.539,35.822)",Nandi North District,Nandi North District,Baringo,Baringo
