,length_km,n_baseline,source_tile,target_tile,source_kommune,target_kommune,source_region,target_region
"(0.563,35.838) → (0.564,35.838)",0.10980640746741999,52402.42931006822,"(0.563,35.838)","(0.564,35.838)",Baringo South,Baringo South,Baringo,Baringo
"(0.012,35.78) → (0.013,35.779)",0.12702174540541,44426.57746604268,"(0.012,35.78)","(0.013,35.779)",Eldama Ravine,Eldama Ravine,Baringo,Baringo
"(0.018,35.774) → (0.018,35.773)",0.10734671386186,44430.455967721435,"(0.018,35.774)","(0.018,35.773)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.024,35.77) → (0.025,35.769)",0.15399571701339998,44461.77746586464,"(0.024,35.77)","(0.025,35.769)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.024,35.777)",0.07209419887691901,44410.6372867822,"(0.024,35.777)","(0.024,35.777)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.024,35.778) → (0.024,35.777)",0.095501687914265,44502.99872767409,"(0.024,35.778)","(0.024,35.777)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.025,35.763) → (0.026,35.76)",0.34414880889333005,44418.15620190869,"(0.025,35.763)","(0.026,35.76)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.027,35.779) → (0.028,35.78)",0.17582944672939002,44415.64918675312,"(0.027,35.779)","(0.028,35.78)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.027,35.785) → (0.028,35.784)",0.15366441868288,44479.12597321677,"(0.027,35.785)","(0.028,35.784)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.03,35.779) → (0.03,35.778)",0.1298131957413,44470.61908839568,"(0.03,35.779)","(0.03,35.778)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.03,35.78) → (0.031,35.778)",0.19319969238029,44429.929926878285,"(0.03,35.78)","(0.031,35.778)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.535,35.845)",0.014715962622209,52464.41178969191,"(0.535,35.845)","(0.535,35.845)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.544,35.838) → (0.545,35.837)",0.10812370986,52492.570392024994,"(0.544,35.838)","(0.545,35.837)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.546,35.825)",0.029769460420942997,52389.53908949272,"(0.546,35.825)","(0.546,35.825)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.55,35.83) → (0.551,35.829)",0.060794222877427,52407.00411464786,"(0.55,35.83)","(0.551,35.829)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.55,35.836) → (0.552,35.836)",0.19425580604942003,52454.37767372098,"(0.55,35.836)","(0.552,35.836)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.551,35.828) → (0.553,35.828)",0.17025497063098002,52392.49618616687,"(0.551,35.828)","(0.553,35.828)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.552,35.834) → (0.552,35.831)",0.28244054857559997,52443.94872496788,"(0.552,35.834)","(0.552,35.831)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.555,35.831) → (0.556,35.831)",0.15779592028255998,52383.62740894212,"(0.555,35.831)","(0.556,35.831)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.561,35.82) → (0.563,35.821)",0.28920957428631,52406.38363430322,"(0.561,35.82)","(0.563,35.821)",Nandi North District,Nandi North District,Baringo,Baringo
"(-0.746,35.281) → (-0.745,35.283)",0.25844630271356,121947.52661068905,"(-0.746,35.281)","(-0.745,35.283)",Bomet Central,Bomet Central,Bomet,Bomet
"(-0.734,35.273) → (-0.734,35.276)",0.27268680867294,122044.14789370968,"(-0.734,35.273)","(-0.734,35.276)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.74,35.275) → (-0.74,35.276)",0.06331163186699,122091.76820755439,"(-0.74,35.275)","(-0.74,35.276)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.741,35.274) → (-0.741,35.275)",0.095433720286899,122068.41746522258,"(-0.741,35.274)","(-0.741,35.275)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.743,35.273) → (-0.743,35.274)",0.096561450451124,121958.1727984815,"(-0.743,35.273)","(-0.743,35.274)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.745,35.27) → (-0.745,35.271)",0.085343139215506,121903.77204877094,"(-0.745,35.27)","(-0.745,35.271)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.747,35.281) → (-0.747,35.282)",0.15286084628941,122157.29707620693,"(-0.747,35.281)","(-0.747,35.282)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.747,35.282)",0.10569536100576,121956.72885696322,"(-0.747,35.282)","(-0.747,35.282)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.748,35.274) → (-0.748,35.276)",0.1858219455055,121917.52932740764,"(-0.748,35.274)","(-0.748,35.276)",Central Kisii,Central Kisii,Bomet,Bomet
