,date_time,n_crisis,n_baseline,n_difference,percent_change,start_lat,start_lon,end_lat,end_lon,start_quadkey,end_quadkey,time_index
0,2020-04-06 0800,33.0,38.0,-5.0,-12.820512820513,11.996334975591994,8.5693359375,11.996334975591994,8.6572265625,122203320221.0,122203320230.0,1
1,2020-04-06 0800,23.0,13.0,10.0,71.42857142857099,11.996334975591994,8.5693359375,11.910350152551365,8.6572265625,122203320221.0,122203320232.0,1
2,2020-04-06 0800,60.0,50.0,10.0,19.607843137255003,11.996334975591994,8.5693359375,12.082292387936079,8.5693359375,122203320221.0,122203320203.0,1
3,2020-04-06 0800,8733.0,8401.4,331.6,3.9464914786252003,11.996334975591994,8.5693359375,11.996334975591994,8.5693359375,122203320221.0,122203320221.0,1
4,2020-04-06 0800,386.0,365.6,20.4,5.5646481178395995,12.082292387936079,8.5693359375,11.996334975591994,8.5693359375,122203320203.0,122203320221.0,1
5,2020-04-06 0800,300.0,311.8,-11.8,-3.7723785166240003,12.082292387936079,8.4814453125,11.996334975591994,8.5693359375,122203320202.0,122203320221.0,1
6,2020-04-06 0800,46.0,46.0,0.0,0.0,12.082292387936079,8.5693359375,11.996334975591994,8.4814453125,122203320203.0,122203320220.0,1
7,2020-04-06 0800,310.0,251.2,58.8,23.314829500397,12.082292387936079,8.5693359375,12.082292387936079,8.5693359375,122203320203.0,122203320203.0,1
8,2020-04-06 0800,47.0,68.4,-21.4,-30.835734870317,11.996334975591994,8.5693359375,12.082292387936079,8.4814453125,122203320221.0,122203320202.0,1
9,2020-04-06 0800,510.0,574.4,-64.4,-11.192214111921999,11.996334975591994,8.5693359375,11.996334975591994,8.4814453125,122203320221.0,122203320220.0,1
10,2020-04-06 0800,125.0,135.8,-10.8,-7.894736842105299,11.996334975591994,8.5693359375,11.910350152551365,8.5693359375,122203320221.0,122203320223.0,1
11,2020-04-06 0800,692.0,664.6,27.4,4.1165865384615,12.082292387936079,8.4814453125,12.082292387936079,8.4814453125,122203320202.0,122203320202.0,1
12,2020-04-06 0800,11.0,15.8,-4.8,-28.571428571429,11.996334975591994,8.4814453125,12.082292387936079,8.5693359375,122203320220.0,122203320203.0,1
13,2020-04-06 0800,110.0,119.2,-9.2,-7.653910149750401,11.996334975591994,8.4814453125,11.910350152551365,8.4814453125,122203320220.0,122203320222.0,1
14,2020-04-06 0800,75.0,84.4,-9.4,-11.007025761124,11.996334975591994,8.5693359375,11.910350152551365,8.4814453125,122203320221.0,122203320222.0,1
15,2020-04-06 0800,1985.0,2126.8,-141.8,-6.6641601654291,11.996334975591994,8.4814453125,11.996334975591994,8.5693359375,122203320220.0,122203320221.0,1
16,2020-04-06 0800,43.0,48.0,-5.0,-10.204081632653,11.996334975591994,8.4814453125,11.910350152551365,8.5693359375,122203320220.0,122203320223.0,1
17,2020-04-06 0800,75.0,112.2,-37.2,-32.862190812720996,11.996334975591994,8.4814453125,12.082292387936079,8.4814453125,122203320220.0,122203320202.0,1
18,2020-04-06 0800,5789.0,5407.2,381.8,7.059650160866799,11.996334975591994,8.4814453125,11.996334975591994,8.4814453125,122203320220.0,122203320220.0,1
19,2020-04-06 0800,186.0,206.8,-20.8,-10.009624639076,12.082292387936079,8.4814453125,11.996334975591994,8.4814453125,122203320202.0,122203320220.0,1
20,2020-04-06 0800,23.0,18.2,4.8,25.0,11.910350152551365,8.5693359375,11.910350152551365,8.4814453125,122203320223.0,122203320222.0,1
21,2020-04-06 0800,1020.0,839.6,180.4,21.460861289554998,11.910350152551365,8.5693359375,11.910350152551365,8.5693359375,122203320223.0,122203320223.0,1
22,2020-04-06 0800,14.0,12.8,1.2,8.695652173913,11.910350152551365,8.5693359375,11.910350152551365,8.6572265625,122203320223.0,122203320232.0,1
23,2020-04-06 0800,426.0,470.6,-44.6,-9.4571670907549,11.910350152551365,8.5693359375,11.996334975591994,8.5693359375,122203320223.0,122203320221.0,1
24,2020-04-06 0800,54.0,62.0,-8.0,-12.698412698413,11.910350152551365,8.5693359375,11.996334975591994,8.4814453125,122203320223.0,122203320220.0,1
25,2020-04-06 0800,40.0,47.4,-7.4,-15.289256198347001,11.996334975591994,8.3935546875,11.996334975591994,8.4814453125,122203231331.0,122203320220.0,1
26,2020-04-06 0800,232.0,249.0,-17.0,-6.8,11.910350152551365,8.4814453125,11.996334975591994,8.4814453125,122203320222.0,122203320220.0,1
27,2020-04-06 0800,925.0,808.0,117.0,14.462299134734002,11.910350152551365,8.4814453125,11.910350152551365,8.4814453125,122203320222.0,122203320222.0,1
28,2020-04-06 0800,13.0,11.0,2.0,16.666666666667,11.738299014570837,8.3935546875,11.996334975591994,8.5693359375,122203233113.0,122203320221.0,1
29,2020-04-06 0800,32.0,47.4,-15.4,-31.818181818182,11.996334975591994,8.3935546875,11.996334975591994,8.5693359375,122203231331.0,122203320221.0,1
30,2020-04-06 0800,10.0,10.6,-0.6,-5.1724137931034,11.910350152551365,8.6572265625,11.910350152551365,8.5693359375,122203320232.0,122203320223.0,1
31,2020-04-06 0800,145.0,110.6,34.4,30.824372759857003,11.910350152551365,8.6572265625,11.910350152551365,8.6572265625,122203320232.0,122203320232.0,1
32,2020-04-06 0800,16.0,22.2,-6.2,-26.724137931034,11.910350152551365,8.4814453125,11.910350152551365,8.5693359375,122203320222.0,122203320223.0,1
33,2020-04-06 0800,50.0,56.8,-6.8,-11.764705882353,11.910350152551365,8.6572265625,11.996334975591994,8.5693359375,122203320232.0,122203320221.0,1
