,date_time,n_crisis,n_baseline,n_difference,percent_change,start_lat,start_lon,end_lat,end_lon,start_quadkey,end_quadkey,time_index
34,2020-04-06 0800,2190.0,1717.4,472.6,27.502327746741,7.493194291140946,3.9111328125,7.493194291140946,3.9111328125,122220303120.0,122220303120.0,1
35,2020-04-06 0800,429.0,587.0,-158.0,-26.870748299320002,7.493194291140946,3.9111328125,7.4060455628667725,3.9111328125,122220303120.0,122220303122.0,1
36,2020-04-06 0800,16.0,20.4,-4.4,-20.560747663551,7.493194291140946,3.9111328125,7.493194291140946,3.8232421875,122220303120.0,122220303031.0,1
37,2020-04-06 0800,26.0,28.4,-2.4,-8.163265306122401,7.493194291140946,3.9111328125,7.4060455628667725,3.8232421875,122220303120.0,122220303033.0,1
38,2020-04-06 0800,13.0,12.6,0.4,2.9411764705882,7.4060455628667725,3.9111328125,7.318879600953956,3.9990234375,122220303122.0,122220303301.0,1
39,2020-04-06 0800,30.0,21.6,8.4,37.16814159292,7.4060455628667725,3.9111328125,7.493194291140946,3.9990234375,122220303122.0,122220303121.0,1
40,2020-04-06 0800,205.0,208.4,-3.4,-1.6236867239733002,7.4060455628667725,3.9111328125,7.4060455628667725,3.9990234375,122220303122.0,122220303123.0,1
41,2020-04-06 0800,14.0,12.6,1.4,10.294117647059,7.493194291140946,4.0869140625,7.4060455628667725,3.9990234375,122220303130.0,122220303123.0,1
42,2020-04-06 0800,17.0,22.4,-5.4,-23.076923076923,7.4060455628667725,4.086914062500001,7.4060455628667725,3.9990234375,122220303132.0,122220303123.0,1
43,2020-04-06 0800,17.0,19.0,-2.0,-10.0,7.4060455628667725,4.086914062500001,7.4060455628667725,3.9111328125,122220303132.0,122220303122.0,1
44,2020-04-06 0800,18.0,24.0,-6.0,-24.0,7.493194291140946,4.0869140625,7.4060455628667725,3.9111328125,122220303130.0,122220303122.0,1
45,2020-04-06 0800,42.0,46.2,-4.2,-8.8983050847458,7.4060455628667725,3.7353515625,7.4060455628667725,3.9111328125,122220303032.0,122220303122.0,1
46,2020-04-06 0800,65.0,64.4,0.59999999999999,0.9174311926605401,7.4060455628667725,3.7353515625,7.4060455628667725,3.8232421875,122220303032.0,122220303033.0,1
47,2020-04-06 0800,15.0,10.0,5.0,45.454545454545,7.231696603775597,3.8232421875,7.318879600953956,3.8232421875,122220303213.0,122220303211.0,1
48,2020-04-06 0800,22.0,13.8,8.2,55.405405405405,7.231696603775597,3.8232421875,7.318879600953956,3.9111328125,122220303213.0,122220303300.0,1
49,2020-04-06 0800,51.0,34.6,16.4,46.067415730337,7.318879600953956,3.9990234375,7.4060455628667725,3.9990234375,122220303301.0,122220303123.0,1
50,2020-04-06 0800,97.0,101.6,-4.6,-4.4834307992203,7.318879600953956,3.9990234375,7.4060455628667725,3.9111328125,122220303301.0,122220303122.0,1
