,date_time,n_crisis,n_baseline,n_difference,percent_change,start_lat,start_lon,end_lat,end_lon,start_quadkey,end_quadkey,time_index
0,2020-04-06 0800,57.0,50.5,6.5,12.621359223301,-4.061535299403523,39.66064453125,-4.017699169865736,39.66064453125,3001112022310.0,3001112022132.0,1
1,2020-04-06 0800,57.0,27.5,29.5,103.50877192982,-3.9738606845603215,39.74853515625,-3.9300198690258616,39.74853515625,3001112023020.0,3001112023002.0,1
2,2020-04-06 0800,396.0,241.7,154.3,63.576431808817,-3.9738606845603215,39.74853515625,-3.9738606845603215,39.74853515625,3001112023020.0,3001112023020.0,1
3,2020-04-06 0800,19.0,22.5,-3.5,-14.893617021277,-4.017699169865736,39.70458984375,-4.017699169865736,39.61669921875,3001112022133.0,3001112022123.0,1
4,2020-04-06 0800,58.0,28.5,29.5,100.0,-3.9738606845603215,39.70458984374999,-4.017699169865736,39.70458984375,3001112022131.0,3001112022133.0,1
5,2020-04-06 0800,424.0,131.8,292.2,220.03012048192997,-3.9738606845603215,39.70458984374999,-3.9738606845603215,39.70458984374999,3001112022131.0,3001112022131.0,1
6,2020-04-06 0800,23.0,15.5,7.5,45.454545454545,-4.017699169865736,39.66064453125,-4.017699169865736,39.61669921875,3001112022132.0,3001112022123.0,1
7,2020-04-06 0800,595.0,313.6,281.4,89.446916719644,-4.017699169865736,39.66064453125,-4.017699169865736,39.66064453125,3001112022132.0,3001112022132.0,1
8,2020-04-06 0800,136.0,88.4,47.6,53.243847874720004,-4.017699169865736,39.66064453125,-4.061535299403523,39.66064453125,3001112022132.0,3001112022310.0,1
9,2020-04-06 0800,54.0,30.5,23.5,74.603174603175,-4.017699169865736,39.66064453125,-4.017699169865736,39.70458984375,3001112022132.0,3001112022133.0,1
10,2020-04-06 0800,11.0,12.5,-1.5,-11.111111111110999,-4.061535299403523,39.66064453125,-4.017699169865736,39.57275390625001,3001112022310.0,3001112022122.0,1
