,date_time,n_crisis,n_baseline,n_difference,percent_change,start_lat,start_lon,end_lat,end_lon,start_quadkey,end_quadkey,time_index
0,2020-04-06 0800,22.0,26.2,-4.2,-15.441176470588,8.885069091737323,7.6025390625,8.971894698043037,7.5146484375,122221032130.0,122221032103.0,1
1,2020-04-06 0800,33.0,58.0,-25.0,-42.372881355932,9.058699536073512,7.5146484375,8.971894698043037,7.3388671875,122221032101.0,122221032013.0,1
2,2020-04-06 0800,1411.0,913.4,497.6,54.418197725284,9.145483411599919,7.514648437500001,9.145483411599919,7.514648437500001,122221030323.0,122221030323.0,1
3,2020-04-06 0800,30.0,183.6,-153.6,-83.206933911159,9.145483411599919,7.514648437500001,9.058699536073512,7.426757812499999,122221030323.0,122221032100.0,1
4,2020-04-06 0800,55.0,263.6,-208.6,-78.835978835979,9.145483411599919,7.514648437500001,9.058699536073512,7.5146484375,122221030323.0,122221032101.0,1
5,2020-04-06 0800,37.0,88.0,-51.0,-57.303370786517,9.058699536073512,7.5146484375,9.145483411599919,7.338867187499999,122221032101.0,122221030233.0,1
6,2020-04-06 0800,14.0,52.0,-38.0,-71.698113207547,9.058699536073512,7.5146484375,8.971894698043037,7.2509765625,122221032101.0,122221032012.0,1
7,2020-04-06 0800,24.0,55.2,-31.2,-55.516014234875,9.058699536073512,7.5146484375,9.145483411599919,7.514648437500001,122221032101.0,122221030323.0,1
8,2020-04-06 0800,5764.0,7730.6,-1966.6,-25.435873557866,9.058699536073512,7.5146484375,9.058699536073512,7.5146484375,122221032101.0,122221032101.0,1
9,2020-04-06 0800,91.0,163.2,-72.2,-43.970767356882,9.058699536073512,7.5146484375,8.971894698043037,7.5146484375,122221032101.0,122221032103.0,1
10,2020-04-06 0800,22.0,68.4,-46.4,-66.85878962535999,9.058699536073512,7.5146484375,9.145483411599919,7.4267578125,122221032101.0,122221030322.0,1
11,2020-04-06 0800,11.0,17.4,-6.4,-34.782608695652,9.058699536073512,7.5146484375,9.058699536073512,7.3388671875,122221032101.0,122221032011.0,1
12,2020-04-06 0800,3965.0,2611.0,1354.0,51.837672281776,8.971894698043037,7.5146484375,8.971894698043037,7.5146484375,122221032103.0,122221032103.0,1
13,2020-04-06 0800,58.0,343.2,-285.2,-82.858803021499,8.971894698043037,7.5146484375,9.058699536073512,7.426757812499999,122221032103.0,122221032100.0,1
14,2020-04-06 0800,99.0,144.0,-45.0,-31.034482758621,8.971894698043037,7.5146484375,8.971894698043037,7.426757812499999,122221032103.0,122221032102.0,1
15,2020-04-06 0800,15.0,23.8,-8.8,-35.483870967742,8.971894698043037,7.5146484375,8.971894698043037,7.3388671875,122221032103.0,122221032013.0,1
16,2020-04-06 0800,28.0,27.6,0.4,1.3986013986013999,8.885069091737323,7.5146484375,8.971894698043037,7.5146484375,122221032121.0,122221032103.0,1
17,2020-04-06 0800,211.0,902.0,-691.0,-76.52270210409701,8.971894698043037,7.5146484375,9.058699536073512,7.5146484375,122221032103.0,122221032101.0,1
18,2020-04-06 0800,58.0,108.8,-50.8,-46.26593806921699,9.058699536073512,7.5146484375,8.971894698043037,7.426757812499999,122221032101.0,122221032102.0,1
19,2020-04-06 0800,200.0,710.8,-510.8,-71.761730823265,9.058699536073512,7.5146484375,9.058699536073512,7.426757812499999,122221032101.0,122221032100.0,1
20,2020-04-06 0800,10.0,20.6,-10.6,-49.074074074074,8.971894698043037,7.5146484375,8.971894698043037,7.2509765625,122221032103.0,122221032012.0,1
21,2020-04-06 0800,77.0,84.0,-7.0,-8.235294117647099,8.971894698043037,7.602539062500001,8.971894698043037,7.5146484375,122221032112.0,122221032103.0,1
22,2020-04-06 0800,33.0,151.4,-118.4,-77.690288713911,8.971894698043037,7.690429687500001,9.058699536073512,7.5146484375,122221032113.0,122221032101.0,1
23,2020-04-06 0800,47.0,241.8,-194.8,-80.23064250411899,8.971894698043037,7.602539062500001,9.058699536073512,7.426757812499999,122221032112.0,122221032100.0,1
24,2020-04-06 0800,17.0,55.6,-38.6,-68.197879858657,8.971894698043037,7.690429687500001,9.058699536073512,7.426757812499999,122221032113.0,122221032100.0,1
25,2020-04-06 0800,151.0,660.2,-509.2,-77.011494252874,8.971894698043037,7.602539062500001,9.058699536073512,7.5146484375,122221032112.0,122221032101.0,1
26,2020-04-06 0800,14.0,67.4,-53.4,-78.070175438596,8.885069091737323,7.6025390625,9.058699536073512,7.5146484375,122221032130.0,122221032101.0,1
27,2020-04-06 0800,17.0,94.0,-77.0,-81.052631578947,9.232246130632744,7.4267578125,9.058699536073512,7.5146484375,122221030320.0,122221032101.0,1
28,2020-04-06 0800,90.0,488.2,-398.2,-81.398201144726,9.145483411599919,7.4267578125,9.058699536073512,7.5146484375,122221030322.0,122221032101.0,1
29,2020-04-06 0800,2531.0,1762.8,768.2,43.553690894659006,9.145483411599919,7.4267578125,9.145483411599919,7.4267578125,122221030322.0,122221030322.0,1
30,2020-04-06 0800,178.0,513.0,-335.0,-65.175097276265,9.145483411599919,7.4267578125,9.058699536073512,7.426757812499999,122221030322.0,122221032100.0,1
31,2020-04-06 0800,109.0,166.6,-57.6,-34.367541766109994,9.145483411599919,7.4267578125,9.145483411599919,7.338867187499999,122221030322.0,122221030233.0,1
32,2020-04-06 0800,29.0,59.8,-30.8,-50.657894736842,9.232246130632744,7.4267578125,9.145483411599919,7.338867187499999,122221030320.0,122221030233.0,1
33,2020-04-06 0800,170.0,922.2,-752.2,-81.477469670711,9.058699536073512,7.602539062500001,9.058699536073512,7.5146484375,122221032110.0,122221032101.0,1
